[2180, 1639]
[paragraph, [788.0, 148.0, 743.0, 36.0], shoonya_3sKOOU5R48BT58, 5653789]
[paragraph, [788.0, 184.0, 743.0, 36.0], shoonya_3sKOOU5R48BT58, 5653789]
[paragraph, [788.0, 220.0, 743.0, 36.0], shoonya_3sKOOU5R48BT58, 5653789]
[paragraph, [788.0, 256.0, 743.0, 36.0], shoonya_3sKOOU5R48BT58, 5653789]
[paragraph, [788.0, 292.0, 743.0, 36.0], shoonya_3sKOOU5R48BT58, 5653789]
[paragraph, [8.0, 154.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 190.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 226.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 262.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 298.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 334.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 370.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 406.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 442.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 478.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 514.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 550.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 586.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 622.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 658.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [8.0, 694.0, 761.0, 36.0], shoonya_5sV52TWOYCTK8S, 5653789]
[paragraph, [797.0, 336.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 372.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 408.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 444.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 480.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 516.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 552.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 588.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 624.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [797.0, 660.0, 741.0, 36.0], shoonya_1sTURQZT4N2EX2, 5653789]
[paragraph, [1031.0, 713.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 749.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 785.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 821.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 857.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 893.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 929.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 965.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 1001.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 1037.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 1073.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [1031.0, 1109.0, 505.0, 36.0], shoonya_2sQG1BMWF3R4OC, 5653789]
[paragraph, [8.0, 743.0, 724.0, 36.0], WTqzzREV5W, 5653789]
[paragraph, [8.0, 779.0, 724.0, 36.0], WTqzzREV5W, 5653789]
[paragraph, [18.0, 833.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 869.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 905.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 941.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 977.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 1013.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 1049.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 1085.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 1121.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 1157.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 1193.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [18.0, 1229.0, 573.0, 36.0], shoonya_11s60695A44BCY, 5653789]
[paragraph, [980.0, 1169.0, 560.0, 36.0], shoonya_8s67RB0AKQAM68, 5653789]
[paragraph, [980.0, 1205.0, 560.0, 36.0], shoonya_8s67RB0AKQAM68, 5653789]
[paragraph, [815.0, 1272.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1308.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1344.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1380.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1416.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1452.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1488.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1524.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1560.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1596.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [815.0, 1632.0, 731.0, 36.0], shoonya_6sAPTY9BMVJD51, 5653789]
[paragraph, [22.0, 1298.0, 755.0, 36.0], shoonya_9sNVERUVGA6USW, 5653789]
[paragraph, [22.0, 1334.0, 755.0, 36.0], shoonya_9sNVERUVGA6USW, 5653789]
[paragraph, [22.0, 1370.0, 755.0, 36.0], shoonya_9sNVERUVGA6USW, 5653789]
[paragraph, [35.0, 1437.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1473.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1509.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1545.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1581.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1617.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1653.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1689.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1725.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1761.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1797.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1833.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1869.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1905.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1941.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 1977.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 2013.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [35.0, 2049.0, 749.0, 36.0], shoonya_0s7H9R07CX9OWG, 5653789]
[paragraph, [788.0, 1682.0, 776.0, 36.0], shoonya_7sZ7UQP9XHJIUC, 5653789]
