[1625, 1211]
[paragraph, [431.0, 93.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [431.0, 129.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [431.0, 165.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [431.0, 201.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [431.0, 237.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [431.0, 273.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [431.0, 309.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [431.0, 345.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [431.0, 381.0, 344.0, 36.0], shoonya_12sAJROZM2TOLI, 5742783]
[paragraph, [786.0, 95.0, 358.0, 36.0], shoonya_6s2E287L24EYYJ, 5742783]
[paragraph, [786.0, 131.0, 358.0, 36.0], shoonya_6s2E287L24EYYJ, 5742783]
[paragraph, [786.0, 167.0, 358.0, 36.0], shoonya_6s2E287L24EYYJ, 5742783]
[paragraph, [786.0, 203.0, 358.0, 36.0], shoonya_6s2E287L24EYYJ, 5742783]
[paragraph, [786.0, 239.0, 358.0, 36.0], shoonya_6s2E287L24EYYJ, 5742783]
[paragraph, [786.0, 275.0, 358.0, 36.0], shoonya_6s2E287L24EYYJ, 5742783]
[paragraph, [786.0, 311.0, 358.0, 36.0], shoonya_6s2E287L24EYYJ, 5742783]
[paragraph, [73.0, 101.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [73.0, 137.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [73.0, 173.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [73.0, 209.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [73.0, 245.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [73.0, 281.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [73.0, 317.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [73.0, 353.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [73.0, 389.0, 349.0, 36.0], shoonya_2s1B0GMUF7W2Q2, 5742783]
[paragraph, [790.0, 384.0, 338.0, 36.0], shoonya_11s9LDJ563AEOG, 5742783]
[paragraph, [790.0, 420.0, 338.0, 36.0], shoonya_11s9LDJ563AEOG, 5742783]
[paragraph, [435.0, 428.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 464.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 500.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 536.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 572.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 608.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 644.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 680.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 716.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 752.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 788.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 824.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 860.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [435.0, 896.0, 342.0, 36.0], shoonya_4sIQF69EZJY0SO, 5742783]
[paragraph, [786.0, 483.0, 348.0, 36.0], shoonya_5sMI17KUYZIUMN, 5742783]
[paragraph, [786.0, 519.0, 348.0, 36.0], shoonya_5sMI17KUYZIUMN, 5742783]
[paragraph, [786.0, 555.0, 348.0, 36.0], shoonya_5sMI17KUYZIUMN, 5742783]
[paragraph, [786.0, 591.0, 348.0, 36.0], shoonya_5sMI17KUYZIUMN, 5742783]
[paragraph, [786.0, 627.0, 348.0, 36.0], shoonya_5sMI17KUYZIUMN, 5742783]
[paragraph, [68.0, 512.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 548.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 584.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 620.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 656.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 692.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 728.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 764.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 800.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 836.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 872.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 908.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 944.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 980.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 1016.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 1052.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [68.0, 1088.0, 347.0, 36.0], shoonya_1sJZELWGF0IF5F, 5742783]
[paragraph, [790.0, 701.0, 340.0, 36.0], shoonya_0sYDDSDJOTLTYQ, 5742783]
[paragraph, [790.0, 737.0, 340.0, 36.0], shoonya_0sYDDSDJOTLTYQ, 5742783]
[paragraph, [790.0, 773.0, 340.0, 36.0], shoonya_0sYDDSDJOTLTYQ, 5742783]
[paragraph, [790.0, 809.0, 340.0, 36.0], shoonya_0sYDDSDJOTLTYQ, 5742783]
