[2084, 1289]
[paragraph, [99.0, 260.0, 1100.0, 36.0], IEIHeneDD0, 5660863]
[paragraph, [99.0, 296.0, 1100.0, 36.0], IEIHeneDD0, 5660863]
[paragraph, [99.0, 332.0, 1100.0, 36.0], IEIHeneDD0, 5660863]
[paragraph, [99.0, 368.0, 1100.0, 36.0], IEIHeneDD0, 5660863]
[paragraph, [99.0, 404.0, 1100.0, 36.0], IEIHeneDD0, 5660863]
[paragraph, [99.0, 440.0, 1100.0, 36.0], IEIHeneDD0, 5660863]
[paragraph, [99.0, 476.0, 1100.0, 36.0], IEIHeneDD0, 5660863]
[ordered-list, [110.0, 521.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 557.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 593.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 629.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 665.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 701.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 737.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 773.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 809.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 845.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 881.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 917.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 953.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 989.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1025.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1061.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1097.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1133.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1169.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1205.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1241.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1277.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1313.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1349.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1385.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1421.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1457.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1493.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1529.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1565.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1601.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1637.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1673.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1709.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1745.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1781.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1817.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[ordered-list, [110.0, 1853.0, 1074.0, 36.0], shoonya_0sUFKTBP6EQ65U, 5660863]
[folio, [632.0, 1937.0, 656.0, 36.0], shoonya_4sUGVPZHAEV0BG, 5660863]
[folio, [632.0, 1973.0, 656.0, 36.0], shoonya_4sUGVPZHAEV0BG, 5660863]
