[1518, 1075]
[section-title, [354.0, 59.0, 366.0, 49.5], shoonya_4sV3C3EQR1GEZ1, 5721999]
[headline, [207.0, 181.0, 652.0, 37.5], shoonya_6s11K9XCMLAKK6, 5721999]
[headline, [207.0, 218.5, 652.0, 37.5], shoonya_6s11K9XCMLAKK6, 5721999]
[headline, [207.0, 256.0, 652.0, 37.5], shoonya_6s11K9XCMLAKK6, 5721999]
[sub-headline, [365.0, 297.0, 338.0, 36.0], shoonya_7s9V3JDYXH8NAS, 5721999]
[sub-headline, [365.0, 333.0, 338.0, 36.0], shoonya_7s9V3JDYXH8NAS, 5721999]
[paragraph, [90.0, 409.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 445.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 481.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 517.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 553.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 589.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 625.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 661.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 697.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 733.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 769.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 805.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 841.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 877.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 913.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [90.0, 949.0, 425.0, 36.0], shoonya_0sJIRGLLEO1RTC, 5721999]
[paragraph, [534.0, 413.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 449.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 485.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 521.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 557.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 593.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 629.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 665.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 701.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 737.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 773.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
[paragraph, [534.0, 809.0, 429.0, 36.0], shoonya_2sVDFVX73XEUIV, 5721999]
