[2400, 1600]
[website-link, [972.0, 109.0, 257.0, 18.0], UxZDD2amCe, 5660857]
[website-link, [972.0, 127.0, 257.0, 18.0], UxZDD2amCe, 5660857]
[website-link, [1250.0, 111.0, 167.0, 18.0], Tc2LJ4uusr, 5660857]
[website-link, [1250.0, 129.0, 167.0, 18.0], Tc2LJ4uusr, 5660857]
[section-title, [139.0, 184.0, 660.0, 52.5], XAjkasgqXI, 5660857]
[paragraph, [160.0, 292.0, 1284.0, 36.0], shoonya_0sKCOJ2H6IYNWU, 5660857]
[paragraph, [160.0, 328.0, 1284.0, 36.0], shoonya_0sKCOJ2H6IYNWU, 5660857]
[paragraph, [160.0, 364.0, 1284.0, 36.0], shoonya_0sKCOJ2H6IYNWU, 5660857]
[paragraph, [160.0, 400.0, 1284.0, 36.0], shoonya_0sKCOJ2H6IYNWU, 5660857]
[paragraph, [160.0, 436.0, 1284.0, 36.0], shoonya_0sKCOJ2H6IYNWU, 5660857]
[paragraph, [160.0, 472.0, 1284.0, 36.0], shoonya_0sKCOJ2H6IYNWU, 5660857]
[paragraph, [160.0, 508.0, 1284.0, 36.0], shoonya_0sKCOJ2H6IYNWU, 5660857]
[paragraph, [143.0, 571.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 607.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 643.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 679.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 715.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 751.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 787.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 823.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 859.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 895.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 931.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 967.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 1003.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 1039.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 1075.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 1111.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 1147.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 1183.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 1219.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [143.0, 1255.0, 1314.0, 36.0], KKJ1ZGglLF, 5660857]
[paragraph, [151.0, 1322.0, 1286.0, 36.0], TdHtRtH903, 5660857]
[paragraph, [151.0, 1358.0, 1286.0, 36.0], TdHtRtH903, 5660857]
[paragraph, [151.0, 1394.0, 1286.0, 36.0], TdHtRtH903, 5660857]
[paragraph, [151.0, 1430.0, 1286.0, 36.0], TdHtRtH903, 5660857]
[paragraph, [151.0, 1466.0, 1286.0, 36.0], TdHtRtH903, 5660857]
[paragraph, [151.0, 1502.0, 1286.0, 36.0], TdHtRtH903, 5660857]
[paragraph, [151.0, 1538.0, 1286.0, 36.0], TdHtRtH903, 5660857]
[paragraph, [157.0, 1608.0, 1290.0, 36.0], LcmmAIAJWb, 5660857]
[paragraph, [157.0, 1644.0, 1290.0, 36.0], LcmmAIAJWb, 5660857]
[paragraph, [157.0, 1680.0, 1290.0, 36.0], LcmmAIAJWb, 5660857]
[paragraph, [157.0, 1716.0, 1290.0, 36.0], LcmmAIAJWb, 5660857]
[paragraph, [157.0, 1752.0, 1290.0, 36.0], LcmmAIAJWb, 5660857]
[paragraph, [157.0, 1788.0, 1290.0, 36.0], LcmmAIAJWb, 5660857]
[paragraph, [157.0, 1824.0, 1290.0, 36.0], LcmmAIAJWb, 5660857]
[paragraph, [163.0, 1888.0, 1278.0, 36.0], hbgaqX7uIR, 5660857]
[paragraph, [163.0, 1924.0, 1278.0, 36.0], hbgaqX7uIR, 5660857]
[paragraph, [163.0, 1960.0, 1278.0, 36.0], hbgaqX7uIR, 5660857]
[paragraph, [163.0, 1996.0, 1278.0, 36.0], hbgaqX7uIR, 5660857]
[paragraph, [163.0, 2032.0, 1278.0, 36.0], hbgaqX7uIR, 5660857]
[paragraph, [163.0, 2068.0, 1278.0, 36.0], hbgaqX7uIR, 5660857]
[paragraph, [163.0, 2104.0, 1278.0, 36.0], hbgaqX7uIR, 5660857]
[paragraph, [163.0, 2140.0, 1278.0, 36.0], hbgaqX7uIR, 5660857]
[footnote, [289.0, 2290.0, 1024.0, 36.0], 0oVm_JLa3e, 5660857]
