[1818, 1374]
[folio, [484.0, 229.0, 405.0, 36.0], shoonya_1sCNK0OFSDFZ2F, 5682890]
[paragraph, [113.0, 300.0, 564.0, 36.0], shoonya_3sCJ9Y66CA863D, 5682890]
[paragraph, [113.0, 336.0, 564.0, 36.0], shoonya_3sCJ9Y66CA863D, 5682890]
[paragraph, [113.0, 372.0, 564.0, 36.0], shoonya_3sCJ9Y66CA863D, 5682890]
[paragraph, [113.0, 408.0, 564.0, 36.0], shoonya_3sCJ9Y66CA863D, 5682890]
[paragraph, [695.0, 382.0, 568.0, 36.0], QUTgvEoe7O, 5682890]
[paragraph, [109.0, 459.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [109.0, 495.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [109.0, 531.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [109.0, 567.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [109.0, 603.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [109.0, 639.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [109.0, 675.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [109.0, 711.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [109.0, 747.0, 568.0, 36.0], shoonya_4sY35BCDRAECRR, 5682890]
[paragraph, [692.0, 581.0, 568.0, 36.0], ZUuNUI6QM3, 5682890]
[paragraph, [700.0, 659.0, 561.0, 36.0], z31_6zpL5x, 5682890]
[paragraph, [700.0, 695.0, 561.0, 36.0], z31_6zpL5x, 5682890]
[paragraph, [699.0, 817.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 853.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 889.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 925.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 961.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 997.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 1033.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 1069.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 1105.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 1141.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 1177.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [699.0, 1213.0, 565.0, 36.0], xfoSb7qZc5, 5682890]
[paragraph, [113.0, 889.0, 563.0, 36.0], vX43qDffjh, 5682890]
[paragraph, [113.0, 925.0, 563.0, 36.0], vX43qDffjh, 5682890]
[paragraph, [113.0, 961.0, 563.0, 36.0], vX43qDffjh, 5682890]
[paragraph, [113.0, 997.0, 563.0, 36.0], vX43qDffjh, 5682890]
[paragraph, [113.0, 1033.0, 563.0, 36.0], vX43qDffjh, 5682890]
[paragraph, [113.0, 1069.0, 563.0, 36.0], vX43qDffjh, 5682890]
[paragraph, [113.0, 1105.0, 563.0, 36.0], vX43qDffjh, 5682890]
[paragraph, [106.0, 1210.0, 571.0, 36.0], inYFFgZOZh, 5682890]
[paragraph, [697.0, 1290.0, 566.0, 36.0], ks1LMLGujJ, 5682890]
[paragraph, [697.0, 1326.0, 566.0, 36.0], ks1LMLGujJ, 5682890]
[paragraph, [697.0, 1362.0, 566.0, 36.0], ks1LMLGujJ, 5682890]
[paragraph, [115.0, 1328.0, 563.0, 36.0], I7s3oIqkjN, 5682890]
[paragraph, [115.0, 1364.0, 563.0, 36.0], I7s3oIqkjN, 5682890]
[paragraph, [109.0, 1409.0, 563.0, 36.0], fN_VHFpdvQ, 5682890]
[paragraph, [109.0, 1445.0, 563.0, 36.0], fN_VHFpdvQ, 5682890]
[paragraph, [106.0, 1529.0, 575.0, 36.0], Ob2Gnr7WLH, 5682890]
[paragraph, [702.0, 1529.0, 559.0, 36.0], lXzxlweJgY, 5682890]
[paragraph, [104.0, 1606.0, 578.0, 36.0], sxZ_crzs8a, 5682890]
[paragraph, [104.0, 1642.0, 578.0, 36.0], sxZ_crzs8a, 5682890]
[paragraph, [104.0, 1678.0, 578.0, 36.0], sxZ_crzs8a, 5682890]
[paragraph, [700.0, 1648.0, 568.0, 36.0], NO_qHOqvsL, 5682890]
[paragraph, [700.0, 1684.0, 568.0, 36.0], NO_qHOqvsL, 5682890]
