[1350, 900]
[folio, [532.0, 179.0, 191.0, 18.0], shoonya_6s6WDLLZPCHK1Y, 5759764]
[folio, [532.0, 197.0, 191.0, 18.0], shoonya_6s6WDLLZPCHK1Y, 5759764]
[paragraph, [177.0, 227.0, 572.0, 18.0], shoonya_2sHKNTFV8444RD, 5759764]
[paragraph, [177.0, 245.0, 572.0, 18.0], shoonya_2sHKNTFV8444RD, 5759764]
[paragraph, [177.0, 263.0, 572.0, 18.0], shoonya_2sHKNTFV8444RD, 5759764]
[paragraph, [177.0, 281.0, 572.0, 18.0], shoonya_2sHKNTFV8444RD, 5759764]
[paragraph, [177.0, 299.0, 572.0, 18.0], shoonya_2sHKNTFV8444RD, 5759764]
[paragraph, [179.0, 329.0, 570.0, 18.0], shoonya_3sVA4SHEYCZI3X, 5759764]
[paragraph, [179.0, 347.0, 570.0, 18.0], shoonya_3sVA4SHEYCZI3X, 5759764]
[paragraph, [179.0, 365.0, 570.0, 18.0], shoonya_3sVA4SHEYCZI3X, 5759764]
[paragraph, [179.0, 383.0, 570.0, 18.0], shoonya_3sVA4SHEYCZI3X, 5759764]
[paragraph, [179.0, 401.0, 570.0, 18.0], shoonya_3sVA4SHEYCZI3X, 5759764]
[paragraph, [180.0, 425.0, 567.0, 18.0], shoonya_1s6CZAEKDHYXBJ, 5759764]
[paragraph, [180.0, 443.0, 567.0, 18.0], shoonya_1s6CZAEKDHYXBJ, 5759764]
[paragraph, [180.0, 461.0, 567.0, 18.0], shoonya_1s6CZAEKDHYXBJ, 5759764]
[paragraph, [180.0, 479.0, 567.0, 18.0], shoonya_1s6CZAEKDHYXBJ, 5759764]
[paragraph, [180.0, 497.0, 567.0, 18.0], shoonya_1s6CZAEKDHYXBJ, 5759764]
[paragraph, [180.0, 515.0, 567.0, 18.0], shoonya_1s6CZAEKDHYXBJ, 5759764]
[paragraph, [180.0, 533.0, 567.0, 18.0], shoonya_1s6CZAEKDHYXBJ, 5759764]
[paragraph, [180.0, 551.0, 567.0, 18.0], shoonya_1s6CZAEKDHYXBJ, 5759764]
[paragraph, [181.0, 575.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 593.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 611.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 629.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 647.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 665.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 683.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 701.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 719.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [181.0, 737.0, 566.0, 18.0], shoonya_0sI68STQLFMAJN, 5759764]
[paragraph, [183.0, 763.0, 564.0, 18.0], shoonya_4sRN56XP8UX38E, 5759764]
[paragraph, [183.0, 781.0, 564.0, 18.0], shoonya_4sRN56XP8UX38E, 5759764]
[paragraph, [183.0, 799.0, 564.0, 18.0], shoonya_4sRN56XP8UX38E, 5759764]
[paragraph, [183.0, 817.0, 564.0, 18.0], shoonya_4sRN56XP8UX38E, 5759764]
[paragraph, [183.0, 835.0, 564.0, 18.0], shoonya_4sRN56XP8UX38E, 5759764]
[paragraph, [183.0, 853.0, 564.0, 18.0], shoonya_4sRN56XP8UX38E, 5759764]
[paragraph, [183.0, 871.0, 564.0, 18.0], shoonya_4sRN56XP8UX38E, 5759764]
[paragraph, [181.0, 901.0, 566.0, 18.0], 39C__Rpb7C, 5759764]
[paragraph, [181.0, 919.0, 566.0, 18.0], 39C__Rpb7C, 5759764]
[paragraph, [181.0, 937.0, 566.0, 18.0], 39C__Rpb7C, 5759764]
[paragraph, [181.0, 955.0, 566.0, 18.0], 39C__Rpb7C, 5759764]
[paragraph, [181.0, 973.0, 566.0, 18.0], 39C__Rpb7C, 5759764]
[paragraph, [181.0, 991.0, 566.0, 18.0], 39C__Rpb7C, 5759764]
[paragraph, [181.0, 1009.0, 566.0, 18.0], 39C__Rpb7C, 5759764]
[paragraph, [181.0, 1027.0, 566.0, 18.0], 39C__Rpb7C, 5759764]
[paragraph, [182.0, 1052.0, 564.0, 18.0], l0DbBVKcDt, 5759764]
[paragraph, [182.0, 1070.0, 564.0, 18.0], l0DbBVKcDt, 5759764]
[paragraph, [182.0, 1088.0, 564.0, 18.0], l0DbBVKcDt, 5759764]
[paragraph, [182.0, 1106.0, 564.0, 18.0], l0DbBVKcDt, 5759764]
[paragraph, [182.0, 1124.0, 564.0, 18.0], l0DbBVKcDt, 5759764]
