[1890, 1477]
[website-link, [155.0, 79.0, 245.0, 18.0], OP0JPranUG, 5725700]
[section-title, [411.0, 322.0, 444.0, 49.5], 0dkqO92rI0, 5725700]
[unordered-list, [398.0, 399.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 435.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 471.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 507.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 543.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 579.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 615.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 651.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 687.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 723.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 759.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 795.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 831.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 867.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 903.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 939.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 975.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1011.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1047.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1083.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1119.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1155.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1191.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1227.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1263.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1299.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1335.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1371.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[unordered-list, [398.0, 1407.0, 695.0, 36.0], shoonya_0sP0LQ11PVB0YJ, 5725700]
[folio, [140.0, 1775.0, 286.0, 36.0], BaL3B4mWTp, 5725700]
