[681, 511]
[section-title, [40.0, 40.0, 428.0, 30.0], shoonya_11sT5ZKGLPT9KV, 5761471]
[section-title, [40.0, 70.0, 428.0, 30.0], shoonya_11sT5ZKGLPT9KV, 5761471]
[section-title, [40.0, 100.0, 428.0, 30.0], shoonya_11sT5ZKGLPT9KV, 5761471]
[section-title, [40.0, 130.0, 428.0, 30.0], shoonya_11sT5ZKGLPT9KV, 5761471]
[author, [151.0, 179.0, 207.0, 18.0], shoonya_12sV6EVPT3OOMV, 5761471]
[paragraph, [25.0, 212.0, 460.0, 18.0], shoonya_0s7WZCS96TB1YP, 5761471]
[paragraph, [25.0, 230.0, 460.0, 18.0], shoonya_0s7WZCS96TB1YP, 5761471]
[paragraph, [25.0, 248.0, 460.0, 18.0], shoonya_0s7WZCS96TB1YP, 5761471]
[paragraph, [25.0, 266.0, 460.0, 18.0], shoonya_0s7WZCS96TB1YP, 5761471]
[paragraph, [25.0, 284.0, 460.0, 18.0], shoonya_0s7WZCS96TB1YP, 5761471]
[paragraph, [25.0, 302.0, 460.0, 18.0], shoonya_0s7WZCS96TB1YP, 5761471]
[paragraph, [25.0, 320.0, 460.0, 18.0], shoonya_0s7WZCS96TB1YP, 5761471]
[paragraph, [24.0, 348.0, 461.0, 18.0], shoonya_5sUFT295T1CE79, 5761471]
[paragraph, [253.0, 400.0, 228.0, 18.0], shoonya_3sKB4T4YF7NFS8, 5761471]
[paragraph, [253.0, 418.0, 228.0, 18.0], shoonya_3sKB4T4YF7NFS8, 5761471]
[paragraph, [253.0, 436.0, 228.0, 18.0], shoonya_3sKB4T4YF7NFS8, 5761471]
[paragraph, [24.0, 405.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 423.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 441.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 459.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 477.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 495.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 513.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 531.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 549.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 567.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [24.0, 585.0, 228.0, 18.0], shoonya_2sSAYF8VCAVRPP, 5761471]
[paragraph, [254.0, 479.0, 226.0, 18.0], shoonya_1sHKMDI6LAL0O1, 5761471]
[paragraph, [254.0, 497.0, 226.0, 18.0], shoonya_1sHKMDI6LAL0O1, 5761471]
[paragraph, [254.0, 515.0, 226.0, 18.0], shoonya_1sHKMDI6LAL0O1, 5761471]
[paragraph, [254.0, 533.0, 226.0, 18.0], shoonya_1sHKMDI6LAL0O1, 5761471]
[paragraph, [254.0, 551.0, 226.0, 18.0], shoonya_1sHKMDI6LAL0O1, 5761471]
[paragraph, [254.0, 569.0, 226.0, 18.0], shoonya_1sHKMDI6LAL0O1, 5761471]
[paragraph, [254.0, 587.0, 226.0, 18.0], shoonya_1sHKMDI6LAL0O1, 5761471]
[footnote, [30.0, 617.0, 448.0, 18.0], RFTsuULMh7, 5761471]
