[1951, 1219]
[folio, [784.0, 122.0, 207.0, 36.0], cvjc3YrpBA, 5682739]
[paragraph, [121.0, 201.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 237.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 273.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 309.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 345.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 381.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 417.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 453.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 489.0, 975.0, 36.0], shoonya_0sSSDA3CZWNUG0, 5682739]
[paragraph, [121.0, 560.0, 972.0, 36.0], erCN4ujdK9, 5682739]
[paragraph, [121.0, 596.0, 972.0, 36.0], erCN4ujdK9, 5682739]
[paragraph, [121.0, 632.0, 972.0, 36.0], erCN4ujdK9, 5682739]
[paragraph, [116.0, 678.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 714.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 750.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 786.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 822.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 858.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 894.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 930.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 966.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 1002.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [116.0, 1038.0, 974.0, 36.0], Fa3Ypyf7jK, 5682739]
[paragraph, [213.0, 1080.0, 871.0, 36.0], O7nMYrpU5-, 5682739]
[paragraph, [118.0, 1140.0, 970.0, 36.0], 5P36adVMia, 5682739]
[paragraph, [118.0, 1176.0, 970.0, 36.0], 5P36adVMia, 5682739]
[paragraph, [118.0, 1212.0, 970.0, 36.0], 5P36adVMia, 5682739]
[paragraph, [118.0, 1248.0, 970.0, 36.0], 5P36adVMia, 5682739]
[paragraph, [210.0, 1315.0, 249.0, 36.0], OzHVOREDoz, 5682739]
[paragraph, [132.0, 1367.0, 956.0, 36.0], sbS5Q_yrIr, 5682739]
[paragraph, [132.0, 1403.0, 956.0, 36.0], sbS5Q_yrIr, 5682739]
[paragraph, [132.0, 1439.0, 956.0, 36.0], sbS5Q_yrIr, 5682739]
[paragraph, [127.0, 1489.0, 958.0, 36.0], uOAp-XmV9K, 5682739]
[paragraph, [127.0, 1525.0, 958.0, 36.0], uOAp-XmV9K, 5682739]
[paragraph, [206.0, 1604.0, 583.0, 36.0], -YgfeT2qXC, 5682739]
[paragraph, [118.0, 1662.0, 970.0, 36.0], kbULIadg3G, 5682739]
[paragraph, [118.0, 1698.0, 970.0, 36.0], kbULIadg3G, 5682739]
[paragraph, [118.0, 1734.0, 970.0, 36.0], kbULIadg3G, 5682739]
[paragraph, [118.0, 1770.0, 970.0, 36.0], kbULIadg3G, 5682739]
