[1650, 1275]
[figure-caption, [609.0, 148.0, 63.0, 36.0], shoonya_4s45FS9YY1WXOA, 6468573]
[paragraph, [143.0, 506.0, 994.0, 36.0], 2uW2GSBr2B, 6468573]
[paragraph, [143.0, 542.0, 994.0, 36.0], 2uW2GSBr2B, 6468573]
[paragraph, [143.0, 578.0, 994.0, 36.0], 2uW2GSBr2B, 6468573]
[ordered-list, [129.0, 633.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 669.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 705.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 741.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 777.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 813.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 849.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 885.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 921.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 957.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 993.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1029.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1065.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1101.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1137.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1173.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1209.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1245.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1281.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1317.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1353.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1389.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
[ordered-list, [129.0, 1425.0, 1008.0, 36.0], GsFG_YccKn, 6468573]
