[558, 353]
[folio, [131.0, 47.0, 87.0, 18.0], AT2BLc98Ae, 6457763]
[paragraph, [23.0, 69.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 87.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 105.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 123.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 141.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 159.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 177.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 195.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 213.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 231.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 249.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 267.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 285.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 303.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 321.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 339.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 357.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 375.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 393.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 411.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 429.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 447.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 465.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
[paragraph, [23.0, 483.0, 299.0, 18.0], shoonya_0sYAEN2SU1NUTP, 6457763]
