[3509, 2480]
[paragraph, [250.0, 416.0, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 468.5, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 521.0, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 573.5, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 626.0, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 678.5, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 731.0, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 783.5, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 836.0, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 888.5, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 941.0, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [250.0, 993.5, 1982.0, 52.5], shoonya_0s20L9HW2V2NWF, 5721344]
[paragraph, [269.0, 1069.0, 1962.0, 52.5], RJDIzuBZmI, 5721344]
[paragraph, [269.0, 1121.5, 1962.0, 52.5], RJDIzuBZmI, 5721344]
[paragraph, [269.0, 1174.0, 1962.0, 52.5], RJDIzuBZmI, 5721344]
[paragraph, [269.0, 1226.5, 1962.0, 52.5], RJDIzuBZmI, 5721344]
[paragraph, [269.0, 1279.0, 1962.0, 52.5], RJDIzuBZmI, 5721344]
[paragraph, [269.0, 1331.5, 1962.0, 52.5], RJDIzuBZmI, 5721344]
[paragraph, [269.0, 1384.0, 1962.0, 52.5], RJDIzuBZmI, 5721344]
[paragraph, [269.0, 1436.5, 1962.0, 52.5], RJDIzuBZmI, 5721344]
[paragraph, [269.0, 1543.0, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [269.0, 1595.5, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [269.0, 1648.0, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [269.0, 1700.5, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [269.0, 1753.0, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [269.0, 1805.5, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [269.0, 1858.0, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [269.0, 1910.5, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [269.0, 1963.0, 1971.0, 52.5], 9KZsMr9cWq, 5721344]
[paragraph, [275.0, 2017.0, 1959.0, 52.5], kh-EaW1UFc, 5721344]
[paragraph, [275.0, 2069.5, 1959.0, 52.5], kh-EaW1UFc, 5721344]
[paragraph, [275.0, 2122.0, 1959.0, 52.5], kh-EaW1UFc, 5721344]
[paragraph, [275.0, 2174.5, 1959.0, 52.5], kh-EaW1UFc, 5721344]
[paragraph, [272.0, 2265.0, 1965.0, 52.5], 2ERiTkRF4B, 5721344]
[paragraph, [272.0, 2317.5, 1965.0, 52.5], 2ERiTkRF4B, 5721344]
[paragraph, [251.0, 2411.0, 1980.0, 52.5], wKIF0F3Uox, 5721344]
[paragraph, [251.0, 2463.5, 1980.0, 52.5], wKIF0F3Uox, 5721344]
[paragraph, [251.0, 2516.0, 1980.0, 52.5], wKIF0F3Uox, 5721344]
[paragraph, [263.0, 2582.0, 1971.0, 52.5], Wh3Yxwl_6q, 5721344]
[paragraph, [263.0, 2634.5, 1971.0, 52.5], Wh3Yxwl_6q, 5721344]
[paragraph, [263.0, 2687.0, 1971.0, 52.5], Wh3Yxwl_6q, 5721344]
[paragraph, [263.0, 2739.5, 1971.0, 52.5], Wh3Yxwl_6q, 5721344]
[paragraph, [263.0, 2792.0, 1971.0, 52.5], Wh3Yxwl_6q, 5721344]
[paragraph, [263.0, 2844.5, 1971.0, 52.5], Wh3Yxwl_6q, 5721344]
