[3508, 2481]
[contact-info, [545.0, 316.0, 1380.0, 52.5], PwY73DpHIv, 6516207]
[contact-info, [545.0, 368.5, 1380.0, 52.5], PwY73DpHIv, 6516207]
[contact-info, [545.0, 421.0, 1380.0, 52.5], PwY73DpHIv, 6516207]
[contact-info, [545.0, 473.5, 1380.0, 52.5], PwY73DpHIv, 6516207]
[contact-info, [545.0, 526.0, 1380.0, 52.5], PwY73DpHIv, 6516207]
[folio, [920.0, 700.0, 607.0, 52.5], 46oy8zXD31, 6516207]
[section-title, [928.0, 812.0, 650.0, 93.0], shoonya_7sEIO431ZJU5PT, 6516207]
[folio, [620.0, 1042.0, 1237.0, 52.5], lfaTQlBBKT, 6516207]
[folio, [620.0, 1094.5, 1237.0, 52.5], lfaTQlBBKT, 6516207]
[dateline, [1070.0, 1285.0, 344.0, 52.5], shoonya_1sIMOY2V38E7JH, 6516207]
[dateline, [1070.0, 1337.5, 344.0, 52.5], shoonya_1sIMOY2V38E7JH, 6516207]
[paragraph, [213.0, 1565.0, 299.0, 52.5], shoonya_2sGXNH096GWPQE, 6516207]
[paragraph, [223.0, 1679.0, 2049.0, 52.5], shoonya_3sNBPFTAE2APYY, 6516207]
[paragraph, [223.0, 1731.5, 2049.0, 52.5], shoonya_3sNBPFTAE2APYY, 6516207]
[paragraph, [223.0, 1784.0, 2049.0, 52.5], shoonya_3sNBPFTAE2APYY, 6516207]
[paragraph, [223.0, 1836.5, 2049.0, 52.5], shoonya_3sNBPFTAE2APYY, 6516207]
[paragraph, [223.0, 1889.0, 2049.0, 52.5], shoonya_3sNBPFTAE2APYY, 6516207]
[paragraph, [223.0, 1941.5, 2049.0, 52.5], shoonya_3sNBPFTAE2APYY, 6516207]
[ordered-list, [261.0, 2079.0, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2131.5, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2184.0, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2236.5, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2289.0, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2341.5, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2394.0, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2446.5, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2499.0, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2551.5, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[ordered-list, [261.0, 2604.0, 2002.0, 52.5], shoonya_5sF4ZMPK3CW60R, 6516207]
[figure-caption, [1852.0, 3000.0, 426.0, 52.5], shoonya_4sQ6IFJOK5DTH4, 6516207]
[figure-caption, [1852.0, 3052.5, 426.0, 52.5], shoonya_4sQ6IFJOK5DTH4, 6516207]
[contact-info, [1780.0, 3266.0, 480.0, 52.5], VruhrTosCS, 6516207]
