[2039, 1457]
[section-title, [336.0, 912.0, 937.0, 52.5], tymSk-6cK9, 5650752]
[unordered-list, [343.0, 1020.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1056.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1092.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1128.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1164.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1200.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1236.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1272.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1308.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1344.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1380.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
[unordered-list, [343.0, 1416.0, 935.0, 36.0], shoonya_0sGKXVP8RZI8X4, 5650752]
