[1298, 853]
[section-title, [295.0, 69.0, 252.0, 30.0], shoonya_2sPGHYK6A5SCSH, 5710015]
[paragraph, [66.0, 115.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 133.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 151.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 169.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 187.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 205.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 223.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 241.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 259.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 277.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 295.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 313.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 331.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [66.0, 349.0, 716.0, 18.0], shoonya_0s8YPTRT79EEF2, 5710015]
[paragraph, [64.0, 364.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 382.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 400.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 418.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 436.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 454.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 472.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 490.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 508.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 526.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [64.0, 544.0, 714.0, 18.0], shoonya_1sP7CULS0V8MCT, 5710015]
[paragraph, [62.0, 570.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 588.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 606.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 624.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 642.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 660.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 678.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 696.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 714.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 732.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 750.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 768.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 786.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 804.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 822.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 840.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 858.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 876.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 894.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 912.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 930.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 948.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 966.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 984.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 1002.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
[paragraph, [62.0, 1020.0, 719.0, 18.0], shoonya_4s3CY467MG0KT9, 5710015]
