[595, 401]
[folio, [54.0, 47.0, 108.0, 18.0], it9lesDLEY, 5710556]
[paragraph, [48.0, 79.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 97.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 115.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 133.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 151.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 169.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 187.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 205.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 223.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 241.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 259.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 277.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [48.0, 295.0, 313.0, 18.0], shoonya_1sMJRIVJOTSECC, 5710556]
[paragraph, [38.0, 322.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 340.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 358.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 376.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 394.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 412.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 430.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 448.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 466.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 484.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 502.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 520.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 538.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 556.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
[paragraph, [38.0, 574.0, 327.0, 18.0], shoonya_0s1E54LYZDQHGN, 5710556]
