[2067, 1567]
[paragraph, [790.0, 254.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [790.0, 290.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [790.0, 326.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [790.0, 362.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [790.0, 398.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [790.0, 434.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [790.0, 470.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [790.0, 506.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [790.0, 542.0, 582.0, 36.0], shoonya_2sQSLDPAT6OXSX, 5736180]
[paragraph, [190.0, 255.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 291.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 327.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 363.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 399.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 435.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 471.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 507.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 543.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [190.0, 579.0, 583.0, 36.0], shoonya_3sNJN7HXWM19SZ, 5736180]
[paragraph, [791.0, 607.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 643.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 679.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 715.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 751.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 787.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 823.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 859.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 895.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 931.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 967.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [791.0, 1003.0, 580.0, 36.0], shoonya_6sS4T08XN7447T, 5736180]
[paragraph, [191.0, 647.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 683.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 719.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 755.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 791.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 827.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 863.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 899.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 935.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 971.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 1007.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 1043.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 1079.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 1115.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 1151.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 1187.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 1223.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [191.0, 1259.0, 579.0, 36.0], shoonya_0sGWEC2CC4JHOH, 5736180]
[paragraph, [791.0, 1053.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1089.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1125.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1161.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1197.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1233.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1269.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1305.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1341.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[paragraph, [791.0, 1377.0, 579.0, 36.0], shoonya_5sZ69CGE6WKBGQ, 5736180]
[sidebar, [17.0, 1299.0, 142.0, 36.0], R6uUlB_VYX, 5736180]
[paragraph, [193.0, 1317.0, 580.0, 36.0], shoonya_1sECARVOEJJM1D, 5736180]
