[1290, 836]
[folio, [660.0, 123.0, 106.0, 18.0], Iuo2zaTTV3, 5773528]
[headline, [105.0, 201.0, 280.0, 25.5], SHan7w-BSP, 5773528]
[headline, [105.0, 226.5, 280.0, 25.5], SHan7w-BSP, 5773528]
[paragraph, [98.0, 316.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 334.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 352.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 370.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 388.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 406.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 424.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 442.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 460.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 478.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 496.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 514.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 532.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 550.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 568.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 586.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 604.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [98.0, 622.0, 681.0, 18.0], shoonya_0s6JNJCIBCCVPJ, 5773528]
[paragraph, [102.0, 645.0, 676.0, 18.0], shoonya_3sRK5CYGDHO9PO, 5773528]
[paragraph, [102.0, 663.0, 676.0, 18.0], shoonya_3sRK5CYGDHO9PO, 5773528]
[paragraph, [102.0, 681.0, 676.0, 18.0], shoonya_3sRK5CYGDHO9PO, 5773528]
[unordered-list, [101.0, 716.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 734.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 752.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 770.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 788.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 806.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 824.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 842.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 860.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 878.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 896.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 914.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 932.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 950.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 968.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 986.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1004.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1022.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1040.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1058.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1076.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1094.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1112.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1130.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1148.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1166.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
[unordered-list, [101.0, 1184.0, 681.0, 18.0], JR1dV4OJlW, 5773528]
