[2339, 1653]
[paragraph, [322.0, 149.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 185.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 221.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 257.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 293.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 329.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 365.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 401.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 437.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 473.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 509.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 545.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 581.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 617.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 653.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 689.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 725.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 761.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 797.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 833.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 869.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 905.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 941.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 977.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 1013.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 1049.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 1085.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 1121.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 1157.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 1193.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [322.0, 1229.0, 1136.0, 36.0], shoonya_1sFI3E0A2AKS3L, 5733826]
[paragraph, [323.0, 1283.0, 1142.0, 36.0], shoonya_0sUVJ4BVHKNLG5, 5733826]
[paragraph, [323.0, 1319.0, 1142.0, 36.0], shoonya_0sUVJ4BVHKNLG5, 5733826]
[paragraph, [323.0, 1355.0, 1142.0, 36.0], shoonya_0sUVJ4BVHKNLG5, 5733826]
