[720, 504]
[folio, [378.0, 71.0, 77.0, 18.0], LS-6uAjGiM, 5651988]
[paragraph, [48.0, 105.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [48.0, 123.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [48.0, 141.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [48.0, 159.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [48.0, 177.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [48.0, 195.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [48.0, 213.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [48.0, 231.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [48.0, 249.0, 199.0, 18.0], shoonya_1sH2TT8ID74TO3, 5651988]
[paragraph, [258.0, 105.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 123.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 141.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 159.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 177.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 195.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 213.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 231.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 249.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 267.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 285.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [258.0, 303.0, 197.0, 18.0], shoonya_2s7GH8QNISKTJ8, 5651988]
[paragraph, [45.0, 271.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 289.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 307.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 325.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 343.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 361.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 379.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 397.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 415.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 433.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [45.0, 451.0, 205.0, 18.0], shoonya_0sJPHMB98RY66X, 5651988]
[paragraph, [259.0, 323.0, 197.0, 18.0], shoonya_8sJKI7Y15UN5K5, 5651988]
[paragraph, [259.0, 341.0, 197.0, 18.0], shoonya_8sJKI7Y15UN5K5, 5651988]
[paragraph, [259.0, 359.0, 197.0, 18.0], shoonya_8sJKI7Y15UN5K5, 5651988]
[paragraph, [259.0, 377.0, 197.0, 18.0], shoonya_8sJKI7Y15UN5K5, 5651988]
[paragraph, [259.0, 395.0, 197.0, 18.0], shoonya_8sJKI7Y15UN5K5, 5651988]
[paragraph, [259.0, 413.0, 197.0, 18.0], shoonya_8sJKI7Y15UN5K5, 5651988]
[paragraph, [259.0, 431.0, 197.0, 18.0], shoonya_8sJKI7Y15UN5K5, 5651988]
[paragraph, [259.0, 449.0, 197.0, 18.0], shoonya_8sJKI7Y15UN5K5, 5651988]
[footnote, [206.0, 675.0, 89.0, 18.0], shoonya_5sIIUB8N6YD0DQ, 5651988]
