[595, 454]
[paragraph, [30.0, 34.0, 210.0, 18.0], shoonya_4s5714UFUQXEI7, 6459941]
[paragraph, [30.0, 52.0, 210.0, 18.0], shoonya_4s5714UFUQXEI7, 6459941]
[paragraph, [30.0, 70.0, 210.0, 18.0], shoonya_4s5714UFUQXEI7, 6459941]
[paragraph, [30.0, 88.0, 210.0, 18.0], shoonya_4s5714UFUQXEI7, 6459941]
[paragraph, [30.0, 106.0, 210.0, 18.0], shoonya_4s5714UFUQXEI7, 6459941]
[paragraph, [30.0, 124.0, 210.0, 18.0], shoonya_4s5714UFUQXEI7, 6459941]
[paragraph, [30.0, 142.0, 210.0, 18.0], shoonya_4s5714UFUQXEI7, 6459941]
[paragraph, [30.0, 160.0, 210.0, 18.0], shoonya_4s5714UFUQXEI7, 6459941]
[paragraph, [26.0, 179.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [26.0, 197.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [26.0, 215.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [26.0, 233.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [26.0, 251.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [26.0, 269.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [26.0, 287.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [26.0, 305.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [26.0, 323.0, 207.0, 18.0], shoonya_2sEKCVW0SD6WXG, 6459941]
[paragraph, [231.0, 302.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 320.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 338.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 356.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 374.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 392.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 410.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 428.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 446.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 464.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 482.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [231.0, 500.0, 210.0, 18.0], shoonya_1sJY6GJ5HZFOGA, 6459941]
[paragraph, [27.0, 341.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 359.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 377.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 395.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 413.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 431.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 449.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 467.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 485.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 503.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 521.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [27.0, 539.0, 207.0, 18.0], shoonya_3s8URTH2PL27FB, 6459941]
[paragraph, [230.0, 514.0, 206.0, 18.0], dJ5N7qw8yz, 6459941]
[paragraph, [230.0, 532.0, 206.0, 18.0], dJ5N7qw8yz, 6459941]
[paragraph, [230.0, 550.0, 206.0, 18.0], dJ5N7qw8yz, 6459941]
