[1818, 1374]
[chapter-title, [601.0, 623.0, 186.0, 58.5], OCv3sk9Re5, 5682281]
[paragraph, [159.0, 728.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 764.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 800.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 836.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 872.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 908.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 944.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 980.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 1016.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 1052.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [159.0, 1088.0, 1087.0, 36.0], shoonya_0s9WGBTG3M5T1L, 5682281]
[paragraph, [967.0, 1168.0, 124.0, 36.0], 7JBqCPR2G8, 5682281]
[author, [893.0, 1213.0, 322.0, 36.0], shoonya_1sJBYJ7Z96MLGL, 5682281]
