[794, 624]
[paragraph, [32.0, 45.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 63.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 81.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 99.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 117.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 135.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 153.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 171.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 189.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 207.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 225.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 243.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 261.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 279.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 297.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 315.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 333.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 351.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 369.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 387.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 405.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 423.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 441.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 459.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 477.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 495.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [32.0, 513.0, 183.0, 18.0], shoonya_2sL5NYZ61TF8PN, 5712276]
[paragraph, [405.0, 45.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 63.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 81.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 99.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 117.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 135.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 153.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 171.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 189.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [405.0, 207.0, 185.0, 18.0], shoonya_1s4K8OBF5ZCIK4, 5712276]
[paragraph, [219.0, 46.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 64.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 82.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 100.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 118.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 136.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 154.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 172.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 190.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 208.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 226.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 244.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 262.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 280.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 298.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 316.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 334.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 352.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
[paragraph, [219.0, 370.0, 184.0, 18.0], shoonya_4s0ENMXRXSPULA, 5712276]
