[792, 612]
[paragraph, [227.0, 86.0, 153.0, 18.0], mxZzZgK1Np, 6515963]
[paragraph, [227.0, 104.0, 153.0, 18.0], mxZzZgK1Np, 6515963]
[paragraph, [227.0, 122.0, 153.0, 18.0], mxZzZgK1Np, 6515963]
[paragraph, [227.0, 140.0, 153.0, 18.0], mxZzZgK1Np, 6515963]
[paragraph, [227.0, 158.0, 153.0, 18.0], mxZzZgK1Np, 6515963]
[paragraph, [227.0, 176.0, 153.0, 18.0], mxZzZgK1Np, 6515963]
[paragraph, [51.0, 87.0, 152.0, 18.0], 6YZ5gLjEkB, 6515963]
[paragraph, [409.0, 88.0, 149.0, 18.0], wGrxp9E6QU, 6515963]
[paragraph, [409.0, 106.0, 149.0, 18.0], wGrxp9E6QU, 6515963]
[paragraph, [409.0, 124.0, 149.0, 18.0], wGrxp9E6QU, 6515963]
[paragraph, [409.0, 142.0, 149.0, 18.0], wGrxp9E6QU, 6515963]
[paragraph, [409.0, 160.0, 149.0, 18.0], wGrxp9E6QU, 6515963]
[paragraph, [50.0, 116.0, 152.0, 18.0], 7vQj3sIn1p, 6515963]
[paragraph, [50.0, 134.0, 152.0, 18.0], 7vQj3sIn1p, 6515963]
[paragraph, [50.0, 152.0, 152.0, 18.0], 7vQj3sIn1p, 6515963]
[paragraph, [50.0, 170.0, 152.0, 18.0], 7vQj3sIn1p, 6515963]
[paragraph, [50.0, 188.0, 152.0, 18.0], 7vQj3sIn1p, 6515963]
[paragraph, [408.0, 182.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 200.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 218.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 236.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 254.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 272.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 290.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 308.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 326.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 344.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [408.0, 362.0, 152.0, 18.0], Q1Q9TN66Id, 6515963]
[paragraph, [229.0, 207.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 225.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 243.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 261.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 279.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 297.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 315.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 333.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 351.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [229.0, 369.0, 151.0, 18.0], aleiEr0Zpk, 6515963]
[paragraph, [49.0, 219.0, 150.0, 18.0], zyN7u5zv3F, 6515963]
[paragraph, [49.0, 237.0, 150.0, 18.0], zyN7u5zv3F, 6515963]
[paragraph, [49.0, 255.0, 150.0, 18.0], zyN7u5zv3F, 6515963]
[paragraph, [48.0, 284.0, 153.0, 18.0], Y31SZa2C8y, 6515963]
[paragraph, [48.0, 302.0, 153.0, 18.0], Y31SZa2C8y, 6515963]
[paragraph, [48.0, 320.0, 153.0, 18.0], Y31SZa2C8y, 6515963]
[paragraph, [48.0, 338.0, 153.0, 18.0], Y31SZa2C8y, 6515963]
[paragraph, [48.0, 356.0, 153.0, 18.0], Y31SZa2C8y, 6515963]
[paragraph, [48.0, 374.0, 153.0, 18.0], Y31SZa2C8y, 6515963]
[paragraph, [48.0, 392.0, 153.0, 18.0], Y31SZa2C8y, 6515963]
[paragraph, [408.0, 387.0, 151.0, 18.0], NSPk1QMkNb, 6515963]
[paragraph, [230.0, 388.0, 149.0, 18.0], lfpg_1UpQR, 6515963]
[paragraph, [230.0, 406.0, 149.0, 18.0], lfpg_1UpQR, 6515963]
[paragraph, [230.0, 424.0, 149.0, 18.0], lfpg_1UpQR, 6515963]
[paragraph, [230.0, 442.0, 149.0, 18.0], lfpg_1UpQR, 6515963]
[paragraph, [48.0, 415.0, 154.0, 18.0], B_vix2lhw7, 6515963]
[paragraph, [408.0, 415.0, 150.0, 18.0], 2KVDZksl9Y, 6515963]
[paragraph, [408.0, 433.0, 150.0, 18.0], 2KVDZksl9Y, 6515963]
[paragraph, [408.0, 451.0, 150.0, 18.0], 2KVDZksl9Y, 6515963]
[paragraph, [408.0, 469.0, 150.0, 18.0], 2KVDZksl9Y, 6515963]
[paragraph, [408.0, 487.0, 150.0, 18.0], 2KVDZksl9Y, 6515963]
[paragraph, [50.0, 441.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [50.0, 459.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [50.0, 477.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [50.0, 495.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [50.0, 513.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [50.0, 531.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [50.0, 549.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [50.0, 567.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [50.0, 585.0, 150.0, 18.0], monxJDTxwU, 6515963]
[paragraph, [230.0, 466.0, 152.0, 18.0], xVAL6yxeS9, 6515963]
[paragraph, [230.0, 484.0, 152.0, 18.0], xVAL6yxeS9, 6515963]
[paragraph, [230.0, 502.0, 152.0, 18.0], xVAL6yxeS9, 6515963]
[paragraph, [230.0, 520.0, 152.0, 18.0], xVAL6yxeS9, 6515963]
[paragraph, [406.0, 505.0, 154.0, 18.0], Z3TGB9PBoY, 6515963]
[paragraph, [406.0, 523.0, 154.0, 18.0], Z3TGB9PBoY, 6515963]
[paragraph, [406.0, 541.0, 154.0, 18.0], Z3TGB9PBoY, 6515963]
[paragraph, [406.0, 559.0, 154.0, 18.0], Z3TGB9PBoY, 6515963]
[paragraph, [406.0, 577.0, 154.0, 18.0], Z3TGB9PBoY, 6515963]
[paragraph, [228.0, 558.0, 151.0, 18.0], 5IWNOHyxhR, 6515963]
[paragraph, [228.0, 576.0, 151.0, 18.0], 5IWNOHyxhR, 6515963]
[paragraph, [228.0, 594.0, 151.0, 18.0], 5IWNOHyxhR, 6515963]
[paragraph, [407.0, 610.0, 153.0, 18.0], geOTQ6IHeS, 6515963]
[paragraph, [407.0, 628.0, 153.0, 18.0], geOTQ6IHeS, 6515963]
[paragraph, [407.0, 646.0, 153.0, 18.0], geOTQ6IHeS, 6515963]
[paragraph, [407.0, 664.0, 153.0, 18.0], geOTQ6IHeS, 6515963]
[paragraph, [49.0, 611.0, 150.0, 18.0], 3hAYRgoNUj, 6515963]
[paragraph, [49.0, 629.0, 150.0, 18.0], 3hAYRgoNUj, 6515963]
[paragraph, [49.0, 647.0, 150.0, 18.0], 3hAYRgoNUj, 6515963]
[paragraph, [49.0, 665.0, 150.0, 18.0], 3hAYRgoNUj, 6515963]
[paragraph, [226.0, 622.0, 154.0, 18.0], 2u4NU5Xxp3, 6515963]
[paragraph, [226.0, 640.0, 154.0, 18.0], 2u4NU5Xxp3, 6515963]
[paragraph, [226.0, 658.0, 154.0, 18.0], 2u4NU5Xxp3, 6515963]
