[710, 559]
[folio, [48.0, 21.0, 120.0, 18.0], shoonya_4s17TBXRVSWWTJ, 5760593]
[paragraph, [49.0, 58.0, 457.0, 18.0], shoonya_3s9PLV7NV9SMFB, 5760593]
[paragraph, [49.0, 76.0, 457.0, 18.0], shoonya_3s9PLV7NV9SMFB, 5760593]
[paragraph, [49.0, 94.0, 457.0, 18.0], shoonya_3s9PLV7NV9SMFB, 5760593]
[paragraph, [49.0, 112.0, 457.0, 18.0], shoonya_3s9PLV7NV9SMFB, 5760593]
[paragraph, [49.0, 130.0, 457.0, 18.0], shoonya_3s9PLV7NV9SMFB, 5760593]
[paragraph, [49.0, 148.0, 457.0, 18.0], shoonya_3s9PLV7NV9SMFB, 5760593]
[paragraph, [49.0, 180.0, 456.0, 18.0], shoonya_2sHL4U02IY6Q83, 5760593]
[paragraph, [49.0, 198.0, 456.0, 18.0], shoonya_2sHL4U02IY6Q83, 5760593]
[paragraph, [49.0, 216.0, 456.0, 18.0], shoonya_2sHL4U02IY6Q83, 5760593]
[paragraph, [49.0, 234.0, 456.0, 18.0], shoonya_2sHL4U02IY6Q83, 5760593]
[paragraph, [49.0, 252.0, 456.0, 18.0], shoonya_2sHL4U02IY6Q83, 5760593]
[paragraph, [49.0, 270.0, 456.0, 18.0], shoonya_2sHL4U02IY6Q83, 5760593]
[paragraph, [49.0, 288.0, 456.0, 18.0], shoonya_2sHL4U02IY6Q83, 5760593]
[paragraph, [50.0, 328.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 346.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 364.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 382.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 400.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 418.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 436.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 454.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 472.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 490.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [50.0, 508.0, 455.0, 18.0], shoonya_0sZDFXFAZPP2RL, 5760593]
[paragraph, [48.0, 539.0, 456.0, 18.0], shoonya_1sAQD72AMRCAMW, 5760593]
[paragraph, [48.0, 557.0, 456.0, 18.0], shoonya_1sAQD72AMRCAMW, 5760593]
[paragraph, [48.0, 575.0, 456.0, 18.0], shoonya_1sAQD72AMRCAMW, 5760593]
[paragraph, [48.0, 593.0, 456.0, 18.0], shoonya_1sAQD72AMRCAMW, 5760593]
[paragraph, [48.0, 611.0, 456.0, 18.0], shoonya_1sAQD72AMRCAMW, 5760593]
[paragraph, [48.0, 629.0, 456.0, 18.0], shoonya_1sAQD72AMRCAMW, 5760593]
[paragraph, [48.0, 647.0, 456.0, 18.0], shoonya_1sAQD72AMRCAMW, 5760593]
[paragraph, [48.0, 665.0, 456.0, 18.0], shoonya_1sAQD72AMRCAMW, 5760593]
