[576, 756]
[section-title, [74.0, 69.0, 385.0, 30.0], shoonya_2s9KJXTJL6KEV5, 5762526]
[paragraph, [75.0, 112.0, 457.0, 18.0], shoonya_3sTM3LA7HYLE4L, 5762526]
[paragraph, [75.0, 130.0, 457.0, 18.0], shoonya_3sTM3LA7HYLE4L, 5762526]
[unordered-list, [67.0, 269.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 287.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 305.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 323.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 341.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 359.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 377.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 395.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 413.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 431.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 449.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 467.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[unordered-list, [67.0, 485.0, 389.0, 18.0], shoonya_1s3MPC86Z0B231, 5762526]
[figure-caption, [560.0, 541.0, 145.0, 18.0], 1IhwTdO2qx, 5762526]
