[1200, 825]
[paragraph, [143.0, 108.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 126.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 144.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 162.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 180.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 198.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 216.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 234.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 252.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 270.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 288.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 306.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 324.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 342.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 360.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 378.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[paragraph, [143.0, 396.0, 540.0, 18.0], shoonya_2sNF8JL3MS4MCQ, 5690945]
[section-title, [139.0, 445.0, 360.0, 30.0], shoonya_3s0G97AZWMCNP3, 5690945]
[paragraph, [136.0, 492.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 510.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 528.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 546.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 564.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 582.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 600.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 618.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 636.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 654.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 672.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 690.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 708.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 726.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 744.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 762.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 780.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 798.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 816.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 834.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 852.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 870.0, 549.0, 18.0], shoonya_0sRGXPXSYBUVJ6, 5690945]
[paragraph, [136.0, 897.0, 549.0, 18.0], PPX7T9UTmz, 5690945]
[paragraph, [136.0, 915.0, 549.0, 18.0], PPX7T9UTmz, 5690945]
[paragraph, [136.0, 933.0, 549.0, 18.0], PPX7T9UTmz, 5690945]
[paragraph, [136.0, 951.0, 549.0, 18.0], PPX7T9UTmz, 5690945]
[paragraph, [136.0, 969.0, 549.0, 18.0], PPX7T9UTmz, 5690945]
[paragraph, [136.0, 987.0, 549.0, 18.0], PPX7T9UTmz, 5690945]
[paragraph, [136.0, 1005.0, 549.0, 18.0], PPX7T9UTmz, 5690945]
[paragraph, [136.0, 1023.0, 549.0, 18.0], PPX7T9UTmz, 5690945]
