[792, 612]
[author, [181.0, 198.0, 182.0, 18.0], ccDiFNX8EC, 6514831]
[reference, [364.0, 205.0, 62.0, 18.0], U2rAXwc_Fw, 6514831]
[contact-info, [71.0, 227.0, 469.0, 18.0], 4EMvIB5QEw, 6514831]
[paragraph, [230.0, 265.0, 152.0, 18.0], 3WW-GZCfbG, 6514831]
[paragraph, [230.0, 283.0, 152.0, 18.0], 3WW-GZCfbG, 6514831]
[paragraph, [409.0, 266.0, 150.0, 18.0], jsFrwncxnk, 6514831]
[paragraph, [409.0, 284.0, 150.0, 18.0], jsFrwncxnk, 6514831]
[paragraph, [409.0, 302.0, 150.0, 18.0], jsFrwncxnk, 6514831]
[paragraph, [409.0, 320.0, 150.0, 18.0], jsFrwncxnk, 6514831]
[paragraph, [53.0, 267.0, 145.0, 18.0], uZzVu4SNhY, 6514831]
[paragraph, [51.0, 295.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [51.0, 313.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [51.0, 331.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [51.0, 349.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [51.0, 367.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [51.0, 385.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [51.0, 403.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [51.0, 421.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [51.0, 439.0, 149.0, 18.0], b0ofjkjQiq, 6514831]
[paragraph, [228.0, 306.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 324.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 342.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 360.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 378.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 396.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 414.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 432.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 450.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 468.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 486.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 504.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 522.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 540.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 558.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 576.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 594.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 612.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 630.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 648.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [228.0, 666.0, 153.0, 18.0], 8dr34UFDXF, 6514831]
[paragraph, [410.0, 344.0, 151.0, 18.0], A09gK51wIQ, 6514831]
[paragraph, [410.0, 362.0, 151.0, 18.0], A09gK51wIQ, 6514831]
[paragraph, [410.0, 380.0, 151.0, 18.0], A09gK51wIQ, 6514831]
