[1755, 1240]
[folio, [635.0, 75.0, 485.0, 36.0], ahjJDof1N-, 5744047]
[paragraph, [198.0, 207.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 243.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 279.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 315.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 351.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 387.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 423.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 459.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 495.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 531.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 567.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 603.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 639.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 675.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 711.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 747.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 783.0, 930.0, 36.0], shoonya_1sFZVIC3YXKMSN, 5744047]
[paragraph, [198.0, 882.0, 932.0, 36.0], shoonya_3sA0OKB65UFYY5, 5744047]
[paragraph, [198.0, 918.0, 932.0, 36.0], shoonya_3sA0OKB65UFYY5, 5744047]
[paragraph, [198.0, 954.0, 932.0, 36.0], shoonya_3sA0OKB65UFYY5, 5744047]
[paragraph, [198.0, 990.0, 932.0, 36.0], shoonya_3sA0OKB65UFYY5, 5744047]
[paragraph, [198.0, 1026.0, 932.0, 36.0], shoonya_3sA0OKB65UFYY5, 5744047]
[paragraph, [198.0, 1062.0, 932.0, 36.0], shoonya_3sA0OKB65UFYY5, 5744047]
[paragraph, [198.0, 1098.0, 932.0, 36.0], shoonya_3sA0OKB65UFYY5, 5744047]
[paragraph, [198.0, 1134.0, 932.0, 36.0], shoonya_3sA0OKB65UFYY5, 5744047]
[paragraph, [318.0, 1192.0, 346.0, 36.0], shoonya_4sYEQ90VV29ZS6, 5744047]
[paragraph, [318.0, 1228.0, 346.0, 36.0], shoonya_4sYEQ90VV29ZS6, 5744047]
[paragraph, [195.0, 1300.0, 934.0, 36.0], shoonya_5s9OYMLHD0P9ZG, 5744047]
[paragraph, [195.0, 1336.0, 934.0, 36.0], shoonya_5s9OYMLHD0P9ZG, 5744047]
[paragraph, [195.0, 1372.0, 934.0, 36.0], shoonya_5s9OYMLHD0P9ZG, 5744047]
[paragraph, [195.0, 1408.0, 934.0, 36.0], shoonya_5s9OYMLHD0P9ZG, 5744047]
[paragraph, [195.0, 1444.0, 934.0, 36.0], shoonya_5s9OYMLHD0P9ZG, 5744047]
[paragraph, [195.0, 1480.0, 934.0, 36.0], shoonya_5s9OYMLHD0P9ZG, 5744047]
[paragraph, [195.0, 1516.0, 934.0, 36.0], shoonya_5s9OYMLHD0P9ZG, 5744047]
