[644, 393]
[folio, [157.0, 31.0, 78.0, 18.0], utZbrrjntD, 6459087]
[paragraph, [28.0, 58.0, 334.0, 18.0], -IzJ7uGfoE, 6459087]
[paragraph, [28.0, 76.0, 334.0, 18.0], -IzJ7uGfoE, 6459087]
[paragraph, [28.0, 94.0, 334.0, 18.0], -IzJ7uGfoE, 6459087]
[paragraph, [28.0, 112.0, 334.0, 18.0], -IzJ7uGfoE, 6459087]
[paragraph, [28.0, 130.0, 334.0, 18.0], -IzJ7uGfoE, 6459087]
[paragraph, [28.0, 148.0, 334.0, 18.0], -IzJ7uGfoE, 6459087]
[paragraph, [28.0, 166.0, 334.0, 18.0], -IzJ7uGfoE, 6459087]
[paragraph, [27.0, 217.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 235.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 253.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 271.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 289.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 307.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 325.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 343.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 361.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 379.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 397.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [27.0, 415.0, 337.0, 18.0], mK75xob58r, 6459087]
[paragraph, [73.0, 441.0, 244.0, 18.0], 1YMB4IZZBT, 6459087]
[paragraph, [30.0, 466.0, 333.0, 18.0], jCSF8ZcH7U, 6459087]
[paragraph, [30.0, 484.0, 333.0, 18.0], jCSF8ZcH7U, 6459087]
[paragraph, [30.0, 502.0, 333.0, 18.0], jCSF8ZcH7U, 6459087]
[paragraph, [30.0, 520.0, 333.0, 18.0], jCSF8ZcH7U, 6459087]
[paragraph, [30.0, 538.0, 333.0, 18.0], jCSF8ZcH7U, 6459087]
[paragraph, [30.0, 556.0, 333.0, 18.0], jCSF8ZcH7U, 6459087]
[paragraph, [30.0, 574.0, 333.0, 18.0], jCSF8ZcH7U, 6459087]
[paragraph, [30.0, 592.0, 333.0, 18.0], jCSF8ZcH7U, 6459087]
