[1787, 1218]
[paragraph, [304.0, 100.0, 662.0, 36.0], zZvCeN3Bu3, 5652092]
[paragraph, [304.0, 136.0, 662.0, 36.0], zZvCeN3Bu3, 5652092]
[paragraph, [304.0, 172.0, 662.0, 36.0], zZvCeN3Bu3, 5652092]
[paragraph, [99.0, 225.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 261.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 297.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 333.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 369.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 405.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 441.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 477.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 513.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 549.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 585.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 621.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 657.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 693.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 729.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 765.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 801.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 837.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 873.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 909.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 945.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 981.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1017.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1053.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1089.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1125.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1161.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1197.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1233.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1269.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1305.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1341.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1377.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1413.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1449.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1485.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1521.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[paragraph, [99.0, 1557.0, 1029.0, 36.0], shoonya_0s4G937841F8GI, 5652092]
[footnote, [462.0, 1643.0, 228.0, 36.0], E1v2XgDmI9, 5652092]
