[1755, 1241]
[folio, [390.0, 227.0, 380.0, 36.0], shoonya_4s9S88TGOD4Y0U, 5711069]
[paragraph, [170.0, 283.0, 821.0, 36.0], shoonya_0s81H2L6JAPW4A, 5711069]
[paragraph, [170.0, 319.0, 821.0, 36.0], shoonya_0s81H2L6JAPW4A, 5711069]
[paragraph, [172.0, 383.0, 825.0, 36.0], y2fcM9XaYD, 5711069]
[paragraph, [172.0, 419.0, 825.0, 36.0], y2fcM9XaYD, 5711069]
[paragraph, [172.0, 455.0, 825.0, 36.0], y2fcM9XaYD, 5711069]
[paragraph, [172.0, 491.0, 825.0, 36.0], y2fcM9XaYD, 5711069]
[paragraph, [172.0, 527.0, 825.0, 36.0], y2fcM9XaYD, 5711069]
[paragraph, [172.0, 563.0, 825.0, 36.0], y2fcM9XaYD, 5711069]
[paragraph, [172.0, 599.0, 825.0, 36.0], y2fcM9XaYD, 5711069]
[paragraph, [172.0, 634.0, 825.0, 36.0], DniJOksd7O, 5711069]
[paragraph, [172.0, 670.0, 825.0, 36.0], DniJOksd7O, 5711069]
[paragraph, [169.0, 730.0, 826.0, 36.0], uzvQ97kWDD, 5711069]
[paragraph, [169.0, 766.0, 826.0, 36.0], uzvQ97kWDD, 5711069]
[paragraph, [169.0, 802.0, 826.0, 36.0], uzvQ97kWDD, 5711069]
[paragraph, [169.0, 838.0, 826.0, 36.0], uzvQ97kWDD, 5711069]
[paragraph, [169.0, 874.0, 826.0, 36.0], uzvQ97kWDD, 5711069]
[paragraph, [171.0, 911.0, 826.0, 36.0], shoonya_1sO9FH1RLF9CU7, 5711069]
[paragraph, [171.0, 947.0, 826.0, 36.0], shoonya_1sO9FH1RLF9CU7, 5711069]
[paragraph, [171.0, 983.0, 826.0, 36.0], shoonya_1sO9FH1RLF9CU7, 5711069]
[paragraph, [171.0, 1019.0, 826.0, 36.0], shoonya_1sO9FH1RLF9CU7, 5711069]
[paragraph, [171.0, 1055.0, 826.0, 36.0], shoonya_1sO9FH1RLF9CU7, 5711069]
[paragraph, [171.0, 1091.0, 826.0, 36.0], shoonya_1sO9FH1RLF9CU7, 5711069]
[paragraph, [171.0, 1127.0, 826.0, 36.0], shoonya_1sO9FH1RLF9CU7, 5711069]
[paragraph, [171.0, 1163.0, 826.0, 36.0], shoonya_1sO9FH1RLF9CU7, 5711069]
