[1063, 680]
[paragraph, [60.0, 132.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 150.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 168.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 186.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 204.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 222.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 240.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 258.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 276.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 294.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 312.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 330.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 348.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 366.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 384.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 402.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 420.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 438.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 456.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 474.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 492.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 510.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 528.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 546.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 564.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 582.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 600.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 618.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 636.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 654.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 672.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 690.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 708.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 726.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 744.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 762.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 780.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 798.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 816.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 834.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 852.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 870.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 888.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 906.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 924.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 942.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[paragraph, [60.0, 960.0, 555.0, 18.0], shoonya_1sWIDM6IHX1UZ6, 5739613]
[footnote, [467.0, 1019.0, 176.0, 18.0], Owh0s_svo0, 5739613]
