[2428, 1814]
[quote, [290.0, 146.0, 253.0, 36.0], z15RNqc3pj, 5694338]
[quote, [290.0, 182.0, 253.0, 36.0], z15RNqc3pj, 5694338]
[quote, [290.0, 218.0, 253.0, 36.0], z15RNqc3pj, 5694338]
[quote, [290.0, 254.0, 253.0, 36.0], z15RNqc3pj, 5694338]
[quote, [290.0, 290.0, 253.0, 36.0], z15RNqc3pj, 5694338]
[quote, [290.0, 326.0, 253.0, 36.0], z15RNqc3pj, 5694338]
[quote, [786.0, 151.0, 253.0, 36.0], IHi8g1SBQi, 5694338]
[quote, [786.0, 187.0, 253.0, 36.0], IHi8g1SBQi, 5694338]
[quote, [786.0, 223.0, 253.0, 36.0], IHi8g1SBQi, 5694338]
[quote, [786.0, 259.0, 253.0, 36.0], IHi8g1SBQi, 5694338]
[quote, [786.0, 295.0, 253.0, 36.0], IHi8g1SBQi, 5694338]
[quote, [1399.0, 194.0, 233.0, 36.0], rRqp0IP11U, 5694338]
[quote, [1399.0, 230.0, 233.0, 36.0], rRqp0IP11U, 5694338]
[quote, [1399.0, 266.0, 233.0, 36.0], rRqp0IP11U, 5694338]
[quote, [1399.0, 302.0, 233.0, 36.0], rRqp0IP11U, 5694338]
[quote, [1399.0, 338.0, 233.0, 36.0], rRqp0IP11U, 5694338]
[quote, [581.0, 754.0, 240.0, 36.0], shoonya_0sH0R0F770XWWD, 5694338]
[quote, [581.0, 790.0, 240.0, 36.0], shoonya_0sH0R0F770XWWD, 5694338]
[quote, [581.0, 826.0, 240.0, 36.0], shoonya_0sH0R0F770XWWD, 5694338]
[quote, [581.0, 862.0, 240.0, 36.0], shoonya_0sH0R0F770XWWD, 5694338]
[quote, [581.0, 898.0, 240.0, 36.0], shoonya_0sH0R0F770XWWD, 5694338]
[quote, [1228.0, 772.0, 225.0, 36.0], shoonya_3sCRGZK2EO8QZB, 5694338]
[quote, [1228.0, 808.0, 225.0, 36.0], shoonya_3sCRGZK2EO8QZB, 5694338]
[quote, [1228.0, 844.0, 225.0, 36.0], shoonya_3sCRGZK2EO8QZB, 5694338]
[quote, [1228.0, 880.0, 225.0, 36.0], shoonya_3sCRGZK2EO8QZB, 5694338]
[quote, [222.0, 836.0, 247.0, 36.0], shoonya_4s4BSRNGPF2AJ4, 5694338]
[quote, [222.0, 872.0, 247.0, 36.0], shoonya_4s4BSRNGPF2AJ4, 5694338]
[quote, [222.0, 908.0, 247.0, 36.0], shoonya_4s4BSRNGPF2AJ4, 5694338]
[quote, [222.0, 944.0, 247.0, 36.0], shoonya_4s4BSRNGPF2AJ4, 5694338]
[quote, [222.0, 980.0, 247.0, 36.0], shoonya_4s4BSRNGPF2AJ4, 5694338]
[quote, [645.0, 1421.0, 253.0, 36.0], JBUpuhNQcP, 5694338]
[quote, [645.0, 1457.0, 253.0, 36.0], JBUpuhNQcP, 5694338]
[quote, [645.0, 1493.0, 253.0, 36.0], JBUpuhNQcP, 5694338]
[quote, [645.0, 1529.0, 253.0, 36.0], JBUpuhNQcP, 5694338]
[quote, [645.0, 1565.0, 253.0, 36.0], JBUpuhNQcP, 5694338]
[quote, [908.0, 1437.0, 231.0, 36.0], 0fJ4VUY3tu, 5694338]
[quote, [908.0, 1473.0, 231.0, 36.0], 0fJ4VUY3tu, 5694338]
[quote, [908.0, 1509.0, 231.0, 36.0], 0fJ4VUY3tu, 5694338]
[quote, [908.0, 1545.0, 231.0, 36.0], 0fJ4VUY3tu, 5694338]
[quote, [87.0, 1489.0, 225.0, 36.0], shoonya_1sG94ZJ995UK9H, 5694338]
[quote, [87.0, 1525.0, 225.0, 36.0], shoonya_1sG94ZJ995UK9H, 5694338]
[quote, [87.0, 1561.0, 225.0, 36.0], shoonya_1sG94ZJ995UK9H, 5694338]
[quote, [87.0, 1597.0, 225.0, 36.0], shoonya_1sG94ZJ995UK9H, 5694338]
[quote, [784.0, 2013.0, 242.0, 36.0], DnlZhgjBct, 5694338]
[quote, [784.0, 2049.0, 242.0, 36.0], DnlZhgjBct, 5694338]
[quote, [784.0, 2085.0, 242.0, 36.0], DnlZhgjBct, 5694338]
[quote, [784.0, 2121.0, 242.0, 36.0], DnlZhgjBct, 5694338]
[quote, [784.0, 2157.0, 242.0, 36.0], DnlZhgjBct, 5694338]
[quote, [1446.0, 2036.0, 205.0, 36.0], shoonya_2sLTR2ILE1YX3W, 5694338]
[quote, [1446.0, 2072.0, 205.0, 36.0], shoonya_2sLTR2ILE1YX3W, 5694338]
[quote, [1446.0, 2108.0, 205.0, 36.0], shoonya_2sLTR2ILE1YX3W, 5694338]
[quote, [1446.0, 2144.0, 205.0, 36.0], shoonya_2sLTR2ILE1YX3W, 5694338]
[folio, [532.0, 2290.0, 608.0, 36.0], LLPBUCaMlP, 5694338]
