[1063, 680]
[folio, [281.0, 70.0, 82.0, 18.0], shoonya_0s47IV5INBV5BY, 5740044]
[paragraph, [70.0, 115.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 133.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 151.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 169.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 187.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 205.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 223.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 241.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 259.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 277.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 295.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 313.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 331.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 349.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 367.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 385.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 403.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 421.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 439.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 457.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 475.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 493.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 511.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 529.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 547.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 565.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 583.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 601.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 619.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 637.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 655.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 673.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 691.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 709.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 727.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 745.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 763.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 781.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 799.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 817.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 835.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 853.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 871.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 889.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 907.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[paragraph, [70.0, 925.0, 535.0, 18.0], cbakU2yk5C, 5740044]
[footnote, [463.0, 1017.0, 177.0, 18.0], cM-hiC4wii, 5740044]
