[2806, 1984]
[answer, [202.0, 286.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 332.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 379.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 425.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 472.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 518.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 565.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 611.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 658.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 704.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 751.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 797.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 844.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 890.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 937.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 983.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1030.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1076.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1123.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1169.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1216.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1262.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1309.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1355.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1402.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1448.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1495.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1541.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1588.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1634.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1681.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1727.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1774.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1820.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1867.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1913.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 1960.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2006.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2053.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2099.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2146.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2192.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2239.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2285.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2332.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2378.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2425.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2471.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2518.0, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[answer, [202.0, 2564.5, 1567.0, 46.5], OVR-hOGdKM, 5698733]
[paragraph, [325.0, 440.0, 1442.0, 46.5], shoonya_4sNH5PJEEV4IN9, 5698733]
[paragraph, [325.0, 486.5, 1442.0, 46.5], shoonya_4sNH5PJEEV4IN9, 5698733]
