[1372, 849]
[section-title, [259.0, 68.0, 332.0, 30.0], shoonya_2sGTZGP255BPGT, 5709762]
[paragraph, [60.0, 129.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 147.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 165.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 183.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 201.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 219.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 237.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 255.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 273.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 291.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 309.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 327.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 345.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 363.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 381.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 399.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 417.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 435.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 453.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 471.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 489.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 507.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 525.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 543.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 561.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
[paragraph, [60.0, 579.0, 716.0, 18.0], shoonya_1sGOPY8UC1YQUC, 5709762]
