[2339, 1656]
[paragraph, [188.0, 198.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 234.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 270.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 306.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 342.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 378.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 414.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 450.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 486.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [188.0, 522.0, 1276.0, 36.0], shoonya_2s0LHU4VK7NOQ6, 5731039]
[paragraph, [190.0, 607.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 643.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 679.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 715.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 751.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 787.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 823.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 859.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 895.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 931.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 967.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1003.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1039.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1075.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1111.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1147.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1183.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1219.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1255.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1291.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [190.0, 1327.0, 1275.0, 36.0], shoonya_0sYA6TQAJS0RMM, 5731039]
[paragraph, [186.0, 1443.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1479.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1515.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1551.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1587.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1623.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1659.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1695.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1731.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1767.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1803.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1839.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1875.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1911.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1947.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 1983.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 2019.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
[paragraph, [186.0, 2055.0, 1269.0, 36.0], shoonya_1sSIGA0EJKTB7H, 5731039]
