[814, 624]
[paragraph, [74.0, 55.0, 467.0, 18.0], SV6doWD5RK, 5690619]
[paragraph, [74.0, 73.0, 467.0, 18.0], SV6doWD5RK, 5690619]
[paragraph, [74.0, 91.0, 467.0, 18.0], SV6doWD5RK, 5690619]
[paragraph, [74.0, 109.0, 467.0, 18.0], SV6doWD5RK, 5690619]
[paragraph, [74.0, 127.0, 467.0, 18.0], SV6doWD5RK, 5690619]
[paragraph, [74.0, 145.0, 467.0, 18.0], SV6doWD5RK, 5690619]
[paragraph, [74.0, 163.0, 467.0, 18.0], SV6doWD5RK, 5690619]
[unordered-list, [76.0, 194.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 212.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 230.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 248.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 266.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 284.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 302.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 320.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 338.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 356.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 374.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
[unordered-list, [76.0, 392.0, 466.0, 18.0], Xe1b9lpRKA, 5690619]
