[1350, 900]
[folio, [196.0, 199.0, 212.0, 18.0], shoonya_3sTDI0YA6ERJUB, 5760411]
[paragraph, [170.0, 249.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 267.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 285.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 303.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 321.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 339.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 357.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 375.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 393.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 411.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 429.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [170.0, 447.0, 560.0, 18.0], shoonya_0sF8401APAVX79, 5760411]
[paragraph, [169.0, 480.0, 558.0, 18.0], shoonya_1sL4VPFXLDVJEX, 5760411]
[paragraph, [169.0, 498.0, 558.0, 18.0], shoonya_1sL4VPFXLDVJEX, 5760411]
[paragraph, [169.0, 516.0, 558.0, 18.0], shoonya_1sL4VPFXLDVJEX, 5760411]
[paragraph, [169.0, 534.0, 558.0, 18.0], shoonya_1sL4VPFXLDVJEX, 5760411]
[paragraph, [169.0, 552.0, 558.0, 18.0], shoonya_1sL4VPFXLDVJEX, 5760411]
[paragraph, [164.0, 580.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 598.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 616.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 634.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 652.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 670.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 688.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 706.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 724.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 742.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [164.0, 760.0, 562.0, 18.0], shoonya_4sB0I40B7PDY2N, 5760411]
[paragraph, [162.0, 783.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 801.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 819.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 837.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 855.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 873.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 891.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 909.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 927.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 945.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [162.0, 963.0, 561.0, 18.0], shoonya_7s1BQ1F8D09ZYA, 5760411]
[paragraph, [161.0, 1009.0, 559.0, 18.0], shoonya_6sF0Y79H2U6XYX, 5760411]
[paragraph, [161.0, 1027.0, 559.0, 18.0], shoonya_6sF0Y79H2U6XYX, 5760411]
[paragraph, [161.0, 1045.0, 559.0, 18.0], shoonya_6sF0Y79H2U6XYX, 5760411]
[paragraph, [161.0, 1063.0, 559.0, 18.0], shoonya_6sF0Y79H2U6XYX, 5760411]
[folio, [204.0, 1101.0, 107.0, 18.0], shoonya_5sRG17S14HTYQE, 5760411]
