[1754, 1241]
[sidebar, [865.0, 1012.0, 240.0, 36.0], 292zHVD4D9, 5718651]
[second-level-question, [142.0, 1067.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1103.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1139.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1175.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1211.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1247.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1283.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1319.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1355.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1391.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1427.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
[second-level-question, [142.0, 1463.0, 1008.0, 36.0], kMnIiM9Qvo, 5718651]
