[2067, 1567]
[folio, [189.0, 191.0, 279.0, 36.0], rnRMHWx_-V, 5735878]
[paragraph, [789.0, 255.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 291.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 327.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 363.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 399.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 435.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 471.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 507.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 543.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 579.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 615.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 651.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 687.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [789.0, 723.0, 583.0, 36.0], shoonya_2sNL229W1EJJMZ, 5735878]
[paragraph, [450.0, 385.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [450.0, 421.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [450.0, 457.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [450.0, 493.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [450.0, 529.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [450.0, 565.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [450.0, 601.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [450.0, 637.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [450.0, 673.0, 322.0, 36.0], shoonya_8s4RNMKR26Z3T2, 5735878]
[paragraph, [193.0, 740.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 776.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 812.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 848.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 884.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 920.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 956.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 992.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 1028.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 1064.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 1100.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 1136.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [193.0, 1172.0, 576.0, 36.0], shoonya_4sWI6AGEBEKEV1, 5735878]
[paragraph, [792.0, 783.0, 578.0, 36.0], shoonya_0sXAA99XOYQP2Y, 5735878]
