[2200, 1700]
[paragraph, [375.0, 114.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [375.0, 150.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [375.0, 186.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [375.0, 222.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [375.0, 258.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [375.0, 294.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [375.0, 330.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [375.0, 366.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [375.0, 402.0, 1130.0, 36.0], shoonya_2sEFQDO4SW9I1B, 5734541]
[paragraph, [371.0, 476.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 512.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 548.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 584.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 620.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 656.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 692.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 728.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 764.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 800.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 836.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 872.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 908.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 944.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 980.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 1016.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 1052.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [371.0, 1088.0, 1136.0, 36.0], shoonya_0sKAU003SO2RZF, 5734541]
[paragraph, [373.0, 1164.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1200.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1236.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1272.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1308.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1344.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1380.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1416.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1452.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1488.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1524.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1560.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1596.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1632.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1668.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1704.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1740.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [373.0, 1776.0, 1133.0, 36.0], shoonya_1sFXMU9KS1SBUR, 5734541]
[paragraph, [377.0, 1847.0, 1132.0, 36.0], shoonya_3s9W4B7B426KE0, 5734541]
[paragraph, [377.0, 1883.0, 1132.0, 36.0], shoonya_3s9W4B7B426KE0, 5734541]
[paragraph, [377.0, 1919.0, 1132.0, 36.0], shoonya_3s9W4B7B426KE0, 5734541]
[paragraph, [377.0, 1955.0, 1132.0, 36.0], shoonya_3s9W4B7B426KE0, 5734541]
[paragraph, [377.0, 1991.0, 1132.0, 36.0], shoonya_3s9W4B7B426KE0, 5734541]
[paragraph, [377.0, 2027.0, 1132.0, 36.0], shoonya_3s9W4B7B426KE0, 5734541]
