[1200, 825]
[paragraph, [143.0, 106.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 124.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 142.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 160.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 178.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 196.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 214.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 232.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 250.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 268.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 286.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 304.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [143.0, 322.0, 538.0, 18.0], shoonya_2sMXMK25CHCQKV, 5690978]
[paragraph, [139.0, 350.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 368.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 386.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 404.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 422.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 440.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 458.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 476.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 494.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 512.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 530.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 548.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 566.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 584.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 602.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 620.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 638.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 656.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 674.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 692.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 710.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [139.0, 728.0, 546.0, 18.0], shoonya_1sWU55BLPOXAFS, 5690978]
[paragraph, [137.0, 748.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 766.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 784.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 802.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 820.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 838.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 856.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 874.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 892.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 910.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 928.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 946.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 964.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 982.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 1000.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 1018.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
[paragraph, [137.0, 1036.0, 548.0, 18.0], shoonya_0sZWRR5N2E90ZE, 5690978]
