[1806, 1262]
[folio, [159.0, 100.0, 513.0, 36.0], shoonya_1s5ZQV7JWDREMX, 5681871]
[paragraph, [90.0, 175.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 211.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 247.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 283.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 319.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 355.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 391.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 427.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 463.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 499.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [90.0, 535.0, 514.0, 36.0], shoonya_3sN2UBXUMQE6U7, 5681871]
[paragraph, [659.0, 177.0, 502.0, 36.0], shoonya_8s4IYRL7ZTMLZS, 5681871]
[paragraph, [659.0, 213.0, 502.0, 36.0], shoonya_8s4IYRL7ZTMLZS, 5681871]
[paragraph, [659.0, 249.0, 502.0, 36.0], shoonya_8s4IYRL7ZTMLZS, 5681871]
[paragraph, [659.0, 285.0, 502.0, 36.0], shoonya_8s4IYRL7ZTMLZS, 5681871]
[paragraph, [657.0, 329.0, 502.0, 36.0], shoonya_9sPQITC4BHBG88, 5681871]
[paragraph, [657.0, 365.0, 502.0, 36.0], shoonya_9sPQITC4BHBG88, 5681871]
[paragraph, [657.0, 401.0, 502.0, 36.0], shoonya_9sPQITC4BHBG88, 5681871]
[paragraph, [656.0, 474.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 510.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 546.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 582.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 618.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 654.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 690.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 726.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 762.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [656.0, 798.0, 509.0, 36.0], shoonya_10sNHA7IOLSEIA, 5681871]
[paragraph, [92.0, 586.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 622.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 658.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 694.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 730.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 766.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 802.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 838.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 874.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 910.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 946.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [92.0, 982.0, 508.0, 36.0], shoonya_4sCH90TRAGO733, 5681871]
[paragraph, [656.0, 839.0, 511.0, 36.0], IoLTTXCk7l, 5681871]
[paragraph, [656.0, 875.0, 511.0, 36.0], IoLTTXCk7l, 5681871]
