[567, 439]
[paragraph, [219.0, 39.0, 197.0, 18.0], HVrV6c-f2a, 6461020]
[paragraph, [219.0, 57.0, 197.0, 18.0], HVrV6c-f2a, 6461020]
[paragraph, [219.0, 75.0, 197.0, 18.0], HVrV6c-f2a, 6461020]
[paragraph, [219.0, 93.0, 197.0, 18.0], HVrV6c-f2a, 6461020]
[paragraph, [221.0, 112.0, 196.0, 18.0], Cx_ayGHfny, 6461020]
[paragraph, [221.0, 130.0, 196.0, 18.0], Cx_ayGHfny, 6461020]
[paragraph, [221.0, 148.0, 196.0, 18.0], Cx_ayGHfny, 6461020]
[paragraph, [223.0, 168.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [223.0, 186.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [223.0, 204.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [223.0, 222.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [223.0, 240.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [223.0, 258.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [223.0, 276.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [223.0, 294.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [223.0, 312.0, 192.0, 18.0], tCIzfaDMdF, 6461020]
[paragraph, [41.0, 257.0, 182.0, 18.0], shoonya_0sO0RQFKMDOXEF, 6461020]
[paragraph, [41.0, 275.0, 182.0, 18.0], shoonya_0sO0RQFKMDOXEF, 6461020]
[paragraph, [41.0, 293.0, 182.0, 18.0], shoonya_0sO0RQFKMDOXEF, 6461020]
[paragraph, [41.0, 316.0, 184.0, 18.0], lJ70HoLNuX, 6461020]
[paragraph, [41.0, 334.0, 184.0, 18.0], lJ70HoLNuX, 6461020]
[paragraph, [41.0, 352.0, 184.0, 18.0], lJ70HoLNuX, 6461020]
[paragraph, [41.0, 370.0, 184.0, 18.0], lJ70HoLNuX, 6461020]
[paragraph, [41.0, 388.0, 184.0, 18.0], lJ70HoLNuX, 6461020]
[paragraph, [41.0, 406.0, 184.0, 18.0], lJ70HoLNuX, 6461020]
[paragraph, [41.0, 424.0, 184.0, 18.0], lJ70HoLNuX, 6461020]
[paragraph, [41.0, 442.0, 184.0, 18.0], lJ70HoLNuX, 6461020]
[paragraph, [225.0, 336.0, 190.0, 18.0], l3enr9r6h7, 6461020]
[paragraph, [225.0, 354.0, 190.0, 18.0], l3enr9r6h7, 6461020]
[paragraph, [225.0, 372.0, 190.0, 18.0], l3enr9r6h7, 6461020]
[paragraph, [225.0, 390.0, 190.0, 18.0], l3enr9r6h7, 6461020]
[paragraph, [225.0, 408.0, 190.0, 18.0], l3enr9r6h7, 6461020]
[paragraph, [225.0, 426.0, 190.0, 18.0], l3enr9r6h7, 6461020]
[paragraph, [228.0, 447.0, 188.0, 18.0], ecdX879qCE, 6461020]
[paragraph, [228.0, 465.0, 188.0, 18.0], ecdX879qCE, 6461020]
[paragraph, [228.0, 483.0, 188.0, 18.0], ecdX879qCE, 6461020]
[paragraph, [228.0, 501.0, 188.0, 18.0], ecdX879qCE, 6461020]
[paragraph, [37.0, 465.0, 188.0, 18.0], gW4qx9DhGx, 6461020]
[paragraph, [37.0, 483.0, 188.0, 18.0], gW4qx9DhGx, 6461020]
[paragraph, [37.0, 501.0, 188.0, 18.0], gW4qx9DhGx, 6461020]
