[1447, 1063]
[folio, [446.0, 53.0, 197.0, 18.0], -ZjLVqWyyB, 5762306]
[headline, [155.0, 95.0, 754.0, 25.5], MIMrtEkXAr, 5762306]
[headline, [155.0, 120.5, 754.0, 25.5], MIMrtEkXAr, 5762306]
[headline, [155.0, 146.0, 754.0, 25.5], MIMrtEkXAr, 5762306]
[headline, [155.0, 171.5, 754.0, 25.5], MIMrtEkXAr, 5762306]
[headline, [155.0, 197.0, 754.0, 25.5], MIMrtEkXAr, 5762306]
[paragraph, [536.0, 244.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 262.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 280.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 298.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 316.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 334.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 352.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 370.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 388.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 406.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 424.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 442.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 460.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 478.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 496.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 514.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 532.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 550.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 568.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 586.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 604.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 622.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 640.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 658.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 676.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 694.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 712.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 730.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 748.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 766.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 784.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 802.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 820.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 838.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 856.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 874.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [536.0, 892.0, 437.0, 18.0], qPPLUjQPb1, 5762306]
[paragraph, [87.0, 248.0, 441.0, 18.0], 32srlcKaMo, 5762306]
[paragraph, [87.0, 266.0, 441.0, 18.0], 32srlcKaMo, 5762306]
[paragraph, [87.0, 284.0, 441.0, 18.0], 32srlcKaMo, 5762306]
[paragraph, [87.0, 302.0, 441.0, 18.0], 32srlcKaMo, 5762306]
[paragraph, [87.0, 320.0, 441.0, 18.0], 32srlcKaMo, 5762306]
[paragraph, [87.0, 338.0, 441.0, 18.0], 32srlcKaMo, 5762306]
[paragraph, [87.0, 356.0, 441.0, 18.0], 32srlcKaMo, 5762306]
[paragraph, [87.0, 374.0, 441.0, 18.0], 32srlcKaMo, 5762306]
