[1795, 1184]
[chapter-title, [360.0, 305.0, 517.0, 58.5], shoonya_1sUGLIHB1LZXHP, 5749293]
[paragraph, [184.0, 471.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [184.0, 507.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [184.0, 543.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [184.0, 579.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [184.0, 615.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [184.0, 651.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [184.0, 687.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [184.0, 723.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [184.0, 759.0, 875.0, 36.0], shoonya_2sRTO5YC6OR1UG, 5749293]
[paragraph, [187.0, 807.0, 876.0, 36.0], shoonya_3sARAV644DML6M, 5749293]
[paragraph, [187.0, 843.0, 876.0, 36.0], shoonya_3sARAV644DML6M, 5749293]
[paragraph, [187.0, 879.0, 876.0, 36.0], shoonya_3sARAV644DML6M, 5749293]
[paragraph, [187.0, 915.0, 876.0, 36.0], shoonya_3sARAV644DML6M, 5749293]
[paragraph, [187.0, 951.0, 876.0, 36.0], shoonya_3sARAV644DML6M, 5749293]
[paragraph, [187.0, 987.0, 876.0, 36.0], shoonya_3sARAV644DML6M, 5749293]
[paragraph, [187.0, 1023.0, 876.0, 36.0], shoonya_3sARAV644DML6M, 5749293]
[paragraph, [187.0, 1059.0, 876.0, 36.0], shoonya_3sARAV644DML6M, 5749293]
[paragraph, [185.0, 1106.0, 871.0, 36.0], sXiyv9DoUG, 5749293]
[paragraph, [185.0, 1142.0, 871.0, 36.0], sXiyv9DoUG, 5749293]
[paragraph, [186.0, 1206.0, 876.0, 36.0], HJzD4o2Cr5, 5749293]
[paragraph, [186.0, 1242.0, 876.0, 36.0], HJzD4o2Cr5, 5749293]
[paragraph, [186.0, 1278.0, 876.0, 36.0], HJzD4o2Cr5, 5749293]
[paragraph, [186.0, 1314.0, 876.0, 36.0], HJzD4o2Cr5, 5749293]
[paragraph, [186.0, 1350.0, 876.0, 36.0], HJzD4o2Cr5, 5749293]
[paragraph, [186.0, 1386.0, 876.0, 36.0], HJzD4o2Cr5, 5749293]
[paragraph, [186.0, 1422.0, 876.0, 36.0], HJzD4o2Cr5, 5749293]
[paragraph, [186.0, 1458.0, 876.0, 36.0], HJzD4o2Cr5, 5749293]
