[1625, 1211]
[jumpline, [109.0, 97.0, 241.0, 36.0], 84rFKOgth_, 5742796]
[paragraph, [783.0, 98.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 134.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 170.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 206.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 242.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 278.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 314.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 350.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 386.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [783.0, 422.0, 348.0, 36.0], ou42wrrYjh, 5742796]
[paragraph, [430.0, 99.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 135.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 171.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 207.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 243.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 279.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 315.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 351.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 387.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 423.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 459.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 495.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 531.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 567.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 603.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 639.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 675.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 711.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 747.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 783.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 819.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 855.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 891.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 927.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 963.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 999.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 1035.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 1071.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [430.0, 1107.0, 342.0, 36.0], shoonya_2sZOQMSBC8GTNM, 5742796]
[paragraph, [66.0, 143.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 179.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 215.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 251.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 287.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 323.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 359.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 395.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 431.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 467.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 503.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 539.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 575.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 611.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 647.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 683.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 719.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 755.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 791.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 827.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 863.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 899.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 935.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 971.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 1007.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 1043.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 1079.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 1115.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[paragraph, [66.0, 1151.0, 354.0, 36.0], lLlOyJxvZJ, 5742796]
[section-title, [795.0, 491.0, 337.0, 49.5], UwNuvVCKLE, 5742796]
[section-title, [795.0, 540.5, 337.0, 49.5], UwNuvVCKLE, 5742796]
[section-title, [795.0, 590.0, 337.0, 49.5], UwNuvVCKLE, 5742796]
[section-title, [795.0, 639.5, 337.0, 49.5], UwNuvVCKLE, 5742796]
[paragraph, [791.0, 701.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 737.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 773.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 809.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 845.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 881.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 917.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 953.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 989.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 1025.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [791.0, 1061.0, 345.0, 36.0], 8j1T4KLeqU, 5742796]
[paragraph, [801.0, 1116.0, 333.0, 36.0], shoonya_3sTRENZ0ELH1Y8, 5742796]
[paragraph, [801.0, 1152.0, 333.0, 36.0], shoonya_3sTRENZ0ELH1Y8, 5742796]
[paragraph, [801.0, 1188.0, 333.0, 36.0], shoonya_3sTRENZ0ELH1Y8, 5742796]
[paragraph, [801.0, 1224.0, 333.0, 36.0], shoonya_3sTRENZ0ELH1Y8, 5742796]
[paragraph, [434.0, 1217.0, 359.0, 36.0], ruUvJIqACz, 5742796]
[paragraph, [434.0, 1253.0, 359.0, 36.0], ruUvJIqACz, 5742796]
[paragraph, [434.0, 1289.0, 359.0, 36.0], ruUvJIqACz, 5742796]
[paragraph, [434.0, 1325.0, 359.0, 36.0], ruUvJIqACz, 5742796]
[paragraph, [434.0, 1361.0, 359.0, 36.0], ruUvJIqACz, 5742796]
