[3508, 2481]
[ordered-list, [263.0, 96.0, 2031.0, 52.5], gTEu_Su6lt, 6491097]
[ordered-list, [263.0, 148.5, 2031.0, 52.5], gTEu_Su6lt, 6491097]
[ordered-list, [263.0, 201.0, 2031.0, 52.5], gTEu_Su6lt, 6491097]
[paragraph, [215.0, 326.0, 2079.0, 52.5], shoonya_3sIP06A1GF4U27, 6491097]
[paragraph, [215.0, 378.5, 2079.0, 52.5], shoonya_3sIP06A1GF4U27, 6491097]
[paragraph, [215.0, 431.0, 2079.0, 52.5], shoonya_3sIP06A1GF4U27, 6491097]
[paragraph, [215.0, 483.5, 2079.0, 52.5], shoonya_3sIP06A1GF4U27, 6491097]
[paragraph, [208.0, 623.0, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [208.0, 675.5, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [208.0, 728.0, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [208.0, 780.5, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [208.0, 833.0, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [208.0, 885.5, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [208.0, 938.0, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [208.0, 990.5, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [208.0, 1043.0, 2085.0, 52.5], shoonya_1sLMBQRDQTKXYF, 6491097]
[paragraph, [205.0, 1163.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1215.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1268.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1320.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1373.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1425.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1478.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1530.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1583.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1635.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1688.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1740.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1793.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1845.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1898.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 1950.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 2003.0, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[paragraph, [205.0, 2055.5, 2086.0, 52.5], shoonya_0sBLAJWDMOJ288, 6491097]
[contact-info, [1795.0, 2410.0, 474.0, 52.5], OKiOtAfyMN, 6491097]
[contact-info, [1795.0, 2462.5, 474.0, 52.5], OKiOtAfyMN, 6491097]
[contact-info, [983.0, 3281.0, 545.0, 52.5], SgIArGRY4t, 6491097]
