[2200, 1700]
[paragraph, [373.0, 110.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 146.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 182.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 218.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 254.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 290.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 326.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 362.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 398.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 434.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 470.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 506.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 542.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 578.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 614.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 650.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 686.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 722.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 758.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 794.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 830.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 866.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [373.0, 902.0, 1132.0, 36.0], shoonya_1s9MCI1Q6GUH89, 5733536]
[paragraph, [372.0, 967.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1003.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1039.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1075.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1111.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1147.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1183.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1219.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1255.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1291.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1327.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1363.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1399.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1435.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1471.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1507.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1543.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1579.0, 1133.0, 36.0], shoonya_0s9UU9NDE36HYS, 5733536]
[paragraph, [372.0, 1659.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1695.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1731.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1767.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1803.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1839.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1875.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1911.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1947.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
[paragraph, [372.0, 1983.0, 1135.0, 36.0], shoonya_2sNLDPSQDME7WO, 5733536]
