[515, 727]
[paragraph, [101.0, 9.0, 264.0, 18.0], 3xQdtSDXca, 6533322]
[paragraph, [101.0, 27.0, 264.0, 18.0], 3xQdtSDXca, 6533322]
[paragraph, [431.0, 49.0, 265.0, 18.0], cc08fxjrj9, 6533322]
[paragraph, [431.0, 67.0, 265.0, 18.0], cc08fxjrj9, 6533322]
[paragraph, [100.0, 57.0, 264.0, 18.0], Sd-I-9rztn, 6533322]
[paragraph, [100.0, 75.0, 264.0, 18.0], Sd-I-9rztn, 6533322]
[paragraph, [100.0, 93.0, 264.0, 18.0], Sd-I-9rztn, 6533322]
[paragraph, [100.0, 111.0, 264.0, 18.0], Sd-I-9rztn, 6533322]
[paragraph, [428.0, 94.0, 264.0, 18.0], fuGRMd5o2p, 6533322]
[paragraph, [428.0, 112.0, 264.0, 18.0], fuGRMd5o2p, 6533322]
[paragraph, [426.0, 138.0, 264.0, 18.0], Uw9FpRMLj1, 6533322]
[paragraph, [426.0, 156.0, 264.0, 18.0], Uw9FpRMLj1, 6533322]
[paragraph, [426.0, 174.0, 264.0, 18.0], Uw9FpRMLj1, 6533322]
[paragraph, [426.0, 192.0, 264.0, 18.0], Uw9FpRMLj1, 6533322]
[paragraph, [426.0, 210.0, 264.0, 18.0], Uw9FpRMLj1, 6533322]
[paragraph, [426.0, 228.0, 264.0, 18.0], Uw9FpRMLj1, 6533322]
[paragraph, [426.0, 246.0, 264.0, 18.0], Uw9FpRMLj1, 6533322]
[paragraph, [123.0, 141.0, 163.0, 18.0], oUjGxkk8wO, 6533322]
[paragraph, [122.0, 161.0, 211.0, 18.0], k-nUanskQ4, 6533322]
[paragraph, [96.0, 185.0, 267.0, 18.0], orbi9wj9hf, 6533322]
[paragraph, [96.0, 203.0, 267.0, 18.0], orbi9wj9hf, 6533322]
[paragraph, [96.0, 221.0, 267.0, 18.0], orbi9wj9hf, 6533322]
[paragraph, [96.0, 239.0, 267.0, 18.0], orbi9wj9hf, 6533322]
[paragraph, [96.0, 257.0, 267.0, 18.0], orbi9wj9hf, 6533322]
[paragraph, [96.0, 275.0, 267.0, 18.0], orbi9wj9hf, 6533322]
[paragraph, [419.0, 268.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [419.0, 286.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [419.0, 304.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [419.0, 322.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [419.0, 340.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [419.0, 358.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [419.0, 376.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [419.0, 394.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [419.0, 412.0, 267.0, 18.0], shoonya_0sOBL5KYPGGL5B, 6533322]
[paragraph, [96.0, 315.0, 271.0, 18.0], 8AAIG9e3og, 6533322]
[paragraph, [96.0, 333.0, 271.0, 18.0], 8AAIG9e3og, 6533322]
[paragraph, [119.0, 363.0, 165.0, 18.0], MDCHHQ4Kqf, 6533322]
[paragraph, [123.0, 385.0, 237.0, 18.0], Iw80xl4tva, 6533322]
[folio, [260.0, 411.0, 99.0, 18.0], 3zuky01MWI, 6533322]
[folio, [421.0, 444.0, 97.0, 18.0], -DyKH3C2Mk, 6533322]
