[2304, 1656]
[paragraph, [347.0, 217.0, 1134.0, 36.0], ORMAAXPPvt, 5699778]
[paragraph, [347.0, 253.0, 1134.0, 36.0], ORMAAXPPvt, 5699778]
[paragraph, [347.0, 289.0, 1134.0, 36.0], ORMAAXPPvt, 5699778]
[paragraph, [347.0, 325.0, 1134.0, 36.0], ORMAAXPPvt, 5699778]
[paragraph, [347.0, 361.0, 1134.0, 36.0], ORMAAXPPvt, 5699778]
[ordered-list, [460.0, 439.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[ordered-list, [460.0, 475.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[ordered-list, [460.0, 511.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[ordered-list, [460.0, 547.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[ordered-list, [460.0, 583.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[ordered-list, [460.0, 619.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[ordered-list, [460.0, 655.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[ordered-list, [460.0, 691.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[ordered-list, [460.0, 727.0, 1026.0, 36.0], shoonya_2sDVXPEOWFMOLE, 5699778]
[section-title, [541.0, 911.0, 881.0, 52.5], shoonya_1sI58XCVEANMAQ, 5699778]
[section-title, [541.0, 963.5, 881.0, 52.5], shoonya_1sI58XCVEANMAQ, 5699778]
[ordered-list, [426.0, 1064.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1100.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1136.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1172.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1208.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1244.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1280.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1316.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1352.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1388.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1424.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1460.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1496.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1532.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1568.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1604.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1640.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1676.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1712.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1748.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1784.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1820.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1856.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1892.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1928.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 1964.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[ordered-list, [426.0, 2000.0, 1076.0, 36.0], K3ygW_dJwv, 5699778]
[sub-ordered-list, [563.0, 1940.0, 573.0, 36.0], JgGoX_ZZkf, 5699778]
[sub-ordered-list, [563.0, 1976.0, 573.0, 36.0], JgGoX_ZZkf, 5699778]
[sub-ordered-list, [563.0, 2012.0, 573.0, 36.0], JgGoX_ZZkf, 5699778]
