[1518, 1075]
[paragraph, [90.0, 142.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 178.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 214.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 250.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 286.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 322.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 358.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 394.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 430.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 466.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 502.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 538.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [90.0, 574.0, 428.0, 36.0], shoonya_1sI6U1EQNU3LY4, 5721986]
[paragraph, [534.0, 149.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 185.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 221.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 257.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 293.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 329.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 365.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 401.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 437.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 473.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 509.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [534.0, 545.0, 430.0, 36.0], shoonya_0s29FVGZ4BCKLF, 5721986]
[paragraph, [535.0, 596.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 632.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 668.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 704.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 740.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 776.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 812.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 848.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 884.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 920.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 956.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 992.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 1028.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 1064.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 1100.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 1136.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 1172.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 1208.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 1244.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [535.0, 1280.0, 427.0, 36.0], shoonya_3sGWOFEZMKCJ91, 5721986]
[paragraph, [90.0, 641.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 677.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 713.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 749.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 785.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 821.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 857.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 893.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 929.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 965.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1001.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1037.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1073.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1109.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1145.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1181.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1217.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1253.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[paragraph, [90.0, 1289.0, 426.0, 36.0], shoonya_2sPYZSMONM4TP7, 5721986]
[folio, [657.0, 1387.0, 219.0, 36.0], CiD8hRc9Hr, 5721986]
