[2180, 1639]
[section-title, [1363.0, 141.0, 167.0, 52.5], shoonya_17sD1RCRX1ZEWT, 5654617]
[headline, [487.0, 371.0, 607.0, 67.5], shoonya_22sYZUFSHNFZ6D, 5654617]
[author, [670.0, 496.0, 233.0, 36.0], shoonya_16s7FSWG8KTF6Z, 5654617]
[paragraph, [802.0, 601.0, 744.0, 36.0], shoonya_8sXTH55EO3ARGE, 5654617]
[paragraph, [802.0, 637.0, 744.0, 36.0], shoonya_8sXTH55EO3ARGE, 5654617]
[paragraph, [802.0, 673.0, 744.0, 36.0], shoonya_8sXTH55EO3ARGE, 5654617]
[paragraph, [802.0, 709.0, 744.0, 36.0], shoonya_8sXTH55EO3ARGE, 5654617]
[paragraph, [802.0, 745.0, 744.0, 36.0], shoonya_8sXTH55EO3ARGE, 5654617]
[paragraph, [802.0, 781.0, 744.0, 36.0], shoonya_8sXTH55EO3ARGE, 5654617]
[paragraph, [802.0, 817.0, 744.0, 36.0], shoonya_8sXTH55EO3ARGE, 5654617]
[paragraph, [14.0, 627.0, 756.0, 36.0], shoonya_5sEFK4NZV10QG7, 5654617]
[paragraph, [14.0, 663.0, 756.0, 36.0], shoonya_5sEFK4NZV10QG7, 5654617]
[paragraph, [14.0, 699.0, 756.0, 36.0], shoonya_5sEFK4NZV10QG7, 5654617]
[paragraph, [14.0, 735.0, 756.0, 36.0], shoonya_5sEFK4NZV10QG7, 5654617]
[paragraph, [14.0, 771.0, 756.0, 36.0], shoonya_5sEFK4NZV10QG7, 5654617]
[paragraph, [14.0, 807.0, 756.0, 36.0], shoonya_5sEFK4NZV10QG7, 5654617]
[paragraph, [14.0, 843.0, 756.0, 36.0], shoonya_5sEFK4NZV10QG7, 5654617]
[paragraph, [14.0, 879.0, 756.0, 36.0], shoonya_5sEFK4NZV10QG7, 5654617]
[paragraph, [858.0, 840.0, 689.0, 36.0], shoonya_11sDPPO3TMJ8LC, 5654617]
[paragraph, [1041.0, 891.0, 492.0, 36.0], shoonya_13sNBD6NP9658J, 5654617]
[paragraph, [25.0, 920.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 956.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 992.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1028.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1064.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1100.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1136.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1172.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1208.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1244.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1280.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1316.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1352.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1388.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1424.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1460.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1496.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1532.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1568.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1604.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
[paragraph, [25.0, 1640.0, 520.0, 36.0], shoonya_0sN6J4O81BY86Y, 5654617]
