[1275, 750]
[folio, [305.0, 87.0, 134.0, 18.0], shoonya_1sVIHCO63RSUC1, 5767232]
[folio, [305.0, 105.0, 134.0, 18.0], shoonya_1sVIHCO63RSUC1, 5767232]
[folio, [305.0, 123.0, 134.0, 18.0], shoonya_1sVIHCO63RSUC1, 5767232]
[paragraph, [72.0, 155.0, 613.0, 18.0], EkcTJiTlyO, 5767232]
[paragraph, [72.0, 173.0, 613.0, 18.0], EkcTJiTlyO, 5767232]
[paragraph, [72.0, 191.0, 613.0, 18.0], EkcTJiTlyO, 5767232]
[paragraph, [72.0, 209.0, 613.0, 18.0], EkcTJiTlyO, 5767232]
[paragraph, [72.0, 227.0, 613.0, 18.0], EkcTJiTlyO, 5767232]
[paragraph, [72.0, 245.0, 613.0, 18.0], EkcTJiTlyO, 5767232]
[paragraph, [72.0, 263.0, 613.0, 18.0], EkcTJiTlyO, 5767232]
[paragraph, [72.0, 281.0, 613.0, 18.0], EkcTJiTlyO, 5767232]
[section-title, [115.0, 321.0, 515.0, 30.0], eOxezkAu3s, 5767232]
[section-title, [115.0, 351.0, 515.0, 30.0], eOxezkAu3s, 5767232]
[section-title, [115.0, 381.0, 515.0, 30.0], eOxezkAu3s, 5767232]
[paragraph, [55.0, 433.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 451.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 469.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 487.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 505.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 523.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 541.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 559.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 577.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 595.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 613.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 631.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 649.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 667.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 685.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 703.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 721.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 739.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 757.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 775.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 793.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 811.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 829.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 847.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 865.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 883.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 901.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 919.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 937.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 955.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 973.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 991.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1009.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1027.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1045.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1063.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1081.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1099.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1117.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1135.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1153.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
[paragraph, [55.0, 1171.0, 629.0, 18.0], shoonya_0sB8P7N9BJYW9T, 5767232]
