[1754, 1241]
[paragraph, [213.0, 147.0, 883.0, 36.0], iXfdminutA, 6470719]
[paragraph, [213.0, 183.0, 883.0, 36.0], iXfdminutA, 6470719]
[paragraph, [213.0, 219.0, 883.0, 36.0], iXfdminutA, 6470719]
[paragraph, [205.0, 291.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 327.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 363.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 399.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 435.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 471.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 507.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 543.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 579.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 615.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 651.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 687.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 723.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 759.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 795.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 831.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 867.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 903.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 939.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 975.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1011.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1047.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1083.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1119.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1155.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1191.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1227.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1263.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1299.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1335.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [205.0, 1371.0, 897.0, 36.0], shoonya_0sSUSM69PY9JJQ, 6470719]
[paragraph, [206.0, 1442.0, 898.0, 36.0], FwWDQj2CSf, 6470719]
[paragraph, [206.0, 1478.0, 898.0, 36.0], FwWDQj2CSf, 6470719]
[paragraph, [206.0, 1514.0, 898.0, 36.0], FwWDQj2CSf, 6470719]
