[3509, 2482]
[folio, [858.0, 248.0, 492.0, 52.5], shoonya_0sEBX1VAJTS0E2, 5691679]
[folio, [858.0, 300.5, 492.0, 52.5], shoonya_0sEBX1VAJTS0E2, 5691679]
[paragraph, [173.0, 392.0, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 444.5, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 497.0, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 549.5, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 602.0, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 654.5, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 707.0, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 759.5, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 812.0, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [173.0, 864.5, 1860.0, 52.5], shoonya_2sOB10A8WR0OUS, 5691679]
[paragraph, [287.0, 945.0, 1020.0, 52.5], yoSxKsrOxf, 5691679]
[paragraph, [1092.0, 1007.0, 901.0, 52.5], kE6bVnqTV8, 5691679]
[paragraph, [215.0, 1095.0, 1205.0, 52.5], YqYXMvApPX, 5691679]
[paragraph, [294.0, 1183.0, 515.0, 52.5], Dvr4DlxDrL, 5691679]
[paragraph, [283.0, 1253.0, 1204.0, 52.5], 6nyZhcVyn5, 5691679]
[paragraph, [313.0, 1334.0, 1067.0, 52.5], 9JO_InmqUt, 5691679]
[paragraph, [290.0, 1411.0, 1697.0, 52.5], G9YzFWxNjW, 5691679]
[paragraph, [301.0, 1492.0, 1101.0, 52.5], XYCthL7t4W, 5691679]
[paragraph, [298.0, 1562.0, 861.0, 52.5], I0sMoDMB5a, 5691679]
[paragraph, [301.0, 1643.0, 916.0, 52.5], In13lv_Iff, 5691679]
[paragraph, [261.0, 1713.0, 1771.0, 52.5], ptJ7oECxnC, 5691679]
[paragraph, [261.0, 1765.5, 1771.0, 52.5], ptJ7oECxnC, 5691679]
[paragraph, [190.0, 1862.0, 1787.0, 52.5], SyDwr6WLxQ, 5691679]
[paragraph, [190.0, 1914.5, 1787.0, 52.5], SyDwr6WLxQ, 5691679]
[paragraph, [190.0, 1967.0, 1787.0, 52.5], SyDwr6WLxQ, 5691679]
[paragraph, [279.0, 2023.0, 913.0, 52.5], O89FF6jWq4, 5691679]
[paragraph, [150.0, 2100.0, 1863.0, 52.5], TYt3GlX4pR, 5691679]
[paragraph, [150.0, 2152.5, 1863.0, 52.5], TYt3GlX4pR, 5691679]
[paragraph, [150.0, 2205.0, 1863.0, 52.5], TYt3GlX4pR, 5691679]
[paragraph, [150.0, 2257.5, 1863.0, 52.5], TYt3GlX4pR, 5691679]
[paragraph, [184.0, 2316.0, 1843.0, 52.5], ULigITuAyT, 5691679]
[paragraph, [184.0, 2368.5, 1843.0, 52.5], ULigITuAyT, 5691679]
[paragraph, [184.0, 2421.0, 1843.0, 52.5], ULigITuAyT, 5691679]
[paragraph, [184.0, 2473.5, 1843.0, 52.5], ULigITuAyT, 5691679]
[paragraph, [184.0, 2526.0, 1843.0, 52.5], ULigITuAyT, 5691679]
[paragraph, [184.0, 2578.5, 1843.0, 52.5], ULigITuAyT, 5691679]
[paragraph, [169.0, 2632.0, 1849.0, 52.5], 2MbrUNENKs, 5691679]
[paragraph, [169.0, 2684.5, 1849.0, 52.5], 2MbrUNENKs, 5691679]
[paragraph, [169.0, 2737.0, 1849.0, 52.5], 2MbrUNENKs, 5691679]
[paragraph, [169.0, 2789.5, 1849.0, 52.5], 2MbrUNENKs, 5691679]
[paragraph, [156.0, 2864.0, 1862.0, 52.5], M5lybYe48c, 5691679]
[paragraph, [156.0, 2916.5, 1862.0, 52.5], M5lybYe48c, 5691679]
[paragraph, [156.0, 2969.0, 1862.0, 52.5], M5lybYe48c, 5691679]
[paragraph, [156.0, 3021.5, 1862.0, 52.5], M5lybYe48c, 5691679]
[paragraph, [156.0, 3074.0, 1862.0, 52.5], M5lybYe48c, 5691679]
[paragraph, [184.0, 3167.0, 1818.0, 52.5], Q9Rl_CafnS, 5691679]
[paragraph, [184.0, 3219.5, 1818.0, 52.5], Q9Rl_CafnS, 5691679]
[paragraph, [184.0, 3272.0, 1818.0, 52.5], Q9Rl_CafnS, 5691679]
