[2339, 1653]
[paragraph, [394.0, 199.0, 1069.0, 36.0], shoonya_2sIXMM5C6GWU2D, 5734559]
[paragraph, [394.0, 235.0, 1069.0, 36.0], shoonya_2sIXMM5C6GWU2D, 5734559]
[paragraph, [384.0, 318.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 354.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 390.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 426.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 462.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 498.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 534.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 570.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 606.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 642.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 678.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 714.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 750.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 786.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 822.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 858.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 894.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 930.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 966.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1002.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1038.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1074.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1110.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1146.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1182.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1218.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1254.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1290.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1326.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1362.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1398.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1434.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1470.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [384.0, 1506.0, 1076.0, 36.0], shoonya_0s0L2C83MMOEI3, 5734559]
[paragraph, [390.0, 1562.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1598.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1634.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1670.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1706.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1742.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1778.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1814.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1850.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1886.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1922.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [390.0, 1958.0, 1070.0, 36.0], shoonya_1s3PG3WTNMFTYZ, 5734559]
[paragraph, [387.0, 2020.0, 1074.0, 36.0], shoonya_3sC9SB4L3HIDBJ, 5734559]
[paragraph, [387.0, 2056.0, 1074.0, 36.0], shoonya_3sC9SB4L3HIDBJ, 5734559]
[paragraph, [387.0, 2092.0, 1074.0, 36.0], shoonya_3sC9SB4L3HIDBJ, 5734559]
[folio, [1046.0, 2182.0, 334.0, 36.0], MjvMBsCi9O, 5734559]
