[2200, 1700]
[unordered-list, [427.0, 118.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 154.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 190.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 226.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 262.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 298.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 334.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 370.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 406.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 442.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 478.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 514.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 550.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 586.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 622.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 658.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 694.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 730.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 766.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 802.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[unordered-list, [427.0, 838.0, 1085.0, 36.0], shoonya_0sU65Q148ZYUKM, 5733473]
[paragraph, [374.0, 1053.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1089.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1125.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1161.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1197.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1233.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1269.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1305.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1341.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1377.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1413.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1449.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1485.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1521.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1557.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1593.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1629.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [374.0, 1665.0, 1133.0, 36.0], shoonya_1sPXGG6RYH6U64, 5733473]
[paragraph, [371.0, 1739.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
[paragraph, [371.0, 1775.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
[paragraph, [371.0, 1811.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
[paragraph, [371.0, 1847.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
[paragraph, [371.0, 1883.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
[paragraph, [371.0, 1919.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
[paragraph, [371.0, 1955.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
[paragraph, [371.0, 1991.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
[paragraph, [371.0, 2027.0, 1136.0, 36.0], shoonya_2sCYEPPAPB4213, 5733473]
