[2339, 1653]
[paragraph, [244.0, 247.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [244.0, 283.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [244.0, 319.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [244.0, 355.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [244.0, 391.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [244.0, 427.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [244.0, 463.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [244.0, 499.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [244.0, 535.0, 1160.0, 36.0], shoonya_1s35ZTM1ZJLCV5, 5686526]
[paragraph, [247.0, 597.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 633.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 669.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 705.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 741.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 777.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 813.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 849.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 885.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 921.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [247.0, 957.0, 1157.0, 36.0], shoonya_0s6CKGBHQOTN00, 5686526]
[paragraph, [248.0, 1013.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1049.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1085.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1121.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1157.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1193.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1229.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1265.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1301.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1337.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1373.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1409.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1445.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1481.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1517.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [248.0, 1553.0, 1153.0, 36.0], shoonya_2sNA5KTSDTPK3L, 5686526]
[paragraph, [246.0, 1631.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1667.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1703.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1739.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1775.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1811.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1847.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1883.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1919.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1955.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[paragraph, [246.0, 1991.0, 1157.0, 36.0], shoonya_3s0AMODK0ZB9BW, 5686526]
[reference, [244.0, 2069.0, 762.0, 36.0], shoonya_4sTEHNSS0DQAI6, 5686526]
