[1350, 900]
[folio, [201.0, 203.0, 214.0, 18.0], E4tsA5mi_1, 5760026]
[paragraph, [179.0, 251.0, 559.0, 18.0], shoonya_6sGHBH8ZAN2L1J, 5760026]
[paragraph, [179.0, 269.0, 559.0, 18.0], shoonya_6sGHBH8ZAN2L1J, 5760026]
[paragraph, [179.0, 287.0, 559.0, 18.0], shoonya_6sGHBH8ZAN2L1J, 5760026]
[paragraph, [177.0, 316.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 334.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 352.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 370.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 388.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 406.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 424.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 442.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 460.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 478.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 496.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 514.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 532.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 550.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 568.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 586.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [177.0, 604.0, 563.0, 18.0], shoonya_0sI6JCE74G3BNI, 5760026]
[paragraph, [178.0, 632.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 650.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 668.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 686.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 704.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 722.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 740.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 758.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 776.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 794.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 812.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [178.0, 830.0, 566.0, 18.0], shoonya_1sZ9KXP3Y5YNZP, 5760026]
[paragraph, [179.0, 856.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 874.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 892.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 910.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 928.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 946.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 964.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 982.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 1000.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [179.0, 1018.0, 563.0, 18.0], shoonya_3sC35MP1OR0LO0, 5760026]
[paragraph, [182.0, 1053.0, 561.0, 18.0], shoonya_5sNU1GHBYYUZNJ, 5760026]
[paragraph, [182.0, 1071.0, 561.0, 18.0], shoonya_5sNU1GHBYYUZNJ, 5760026]
[paragraph, [182.0, 1089.0, 561.0, 18.0], shoonya_5sNU1GHBYYUZNJ, 5760026]
[paragraph, [182.0, 1107.0, 561.0, 18.0], shoonya_5sNU1GHBYYUZNJ, 5760026]
[paragraph, [182.0, 1125.0, 561.0, 18.0], shoonya_5sNU1GHBYYUZNJ, 5760026]
