[792, 612]
[section-title, [212.0, 99.0, 195.0, 30.0], fD28NAl_49, 6494011]
[paragraph, [98.0, 178.0, 430.0, 18.0], xaAiXkhBCs, 6494011]
[paragraph, [98.0, 196.0, 430.0, 18.0], xaAiXkhBCs, 6494011]
[paragraph, [98.0, 214.0, 430.0, 18.0], xaAiXkhBCs, 6494011]
[paragraph, [98.0, 232.0, 430.0, 18.0], xaAiXkhBCs, 6494011]
[paragraph, [98.0, 250.0, 430.0, 18.0], xaAiXkhBCs, 6494011]
[paragraph, [94.0, 276.0, 435.0, 18.0], qFBjN_zQ1C, 6494011]
[paragraph, [94.0, 294.0, 435.0, 18.0], qFBjN_zQ1C, 6494011]
[paragraph, [94.0, 312.0, 435.0, 18.0], qFBjN_zQ1C, 6494011]
[paragraph, [97.0, 352.0, 428.0, 18.0], R9wkZgaQuQ, 6494011]
[paragraph, [97.0, 370.0, 428.0, 18.0], R9wkZgaQuQ, 6494011]
[paragraph, [97.0, 388.0, 428.0, 18.0], R9wkZgaQuQ, 6494011]
[paragraph, [97.0, 406.0, 428.0, 18.0], R9wkZgaQuQ, 6494011]
[paragraph, [101.0, 426.0, 422.0, 18.0], nTia4TDQPh, 6494011]
[paragraph, [101.0, 444.0, 422.0, 18.0], nTia4TDQPh, 6494011]
[paragraph, [246.0, 488.0, 147.0, 18.0], IXouGvf4eu, 6494011]
[paragraph, [246.0, 506.0, 147.0, 18.0], IXouGvf4eu, 6494011]
[paragraph, [246.0, 524.0, 147.0, 18.0], IXouGvf4eu, 6494011]
[paragraph, [246.0, 542.0, 147.0, 18.0], IXouGvf4eu, 6494011]
[paragraph, [246.0, 560.0, 147.0, 18.0], IXouGvf4eu, 6494011]
[author, [405.0, 616.0, 127.0, 18.0], lojN2ccJlC, 6494011]
